"lookupVariable","lookupValue","newVariable","newValue","source"
"","","pft","EA","from paper[D Barneche]"
"species","Podocarpus nubigena","pft","EG","from paper[D Barneche]"
"species","Podocarpus salignus","pft","EG","from paper[D Barneche]"
"species","Saxegothaea conspicua","pft","EG","from paper[D Barneche]"
"species","Araucaria araucana","pft","EG","from paper[D Barneche]"
"species","Agathis australis","pft","EG","from paper[D Barneche]"
"species","Phyllocladus trichomanoides","pft","EG","from paper[D Barneche]"
"","","growingCondition","FW","from paper[D Barneche]"
"","","vegetation","TempRf","from paper[D Barneche]"
"","","location","Parque Nacional Puyehue, Chile","from paper[D Barneche]"
"","","latitude","-40.65","from paper[D Barneche]"
"","","longitude","-72.18","from paper[D Barneche]"
"","","map","3500","from paper[D Barneche]"
