"var_in","method","unit_in","var_out","notes"
"nr",NA,NA,NA,NA
"forest",NA,NA,NA,NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"species",NA,NA,"species",NA
"family",NA,NA,"family",NA
"individual",NA,NA,NA,NA
"pft",NA,NA,"pft",NA
"age (yr)",NA,NA,NA,NA
"a.lf","e1","cm2","a.lf",NA
"a.stba","d4","mm2","a.stba",NA
"a.stbc","d6","mm2","a.stbc",NA
"h.c","d6","mm","h.c",NA
"m.lf","m3,x1","g","m.lf",NA
"m.st","m3","g","m.st",NA
"m.so","m3","g","m.so",NA
"m.br","m3","g","m.br",NA
"m.rf","m3","g","m.rf",NA
"m.rc","m3","g","m.rc",NA
"m.rt","m3","g","m.rt",NA
"m.to","m3","g","m.to",NA
"a.ilf","x1","cm2","a.ilf",NA
"ma.ilf","m3,a1,x6","g.m2","ma.ilf",NA
"r.st","v1,v5","g.cm3","r.st",NA
"growingCondition",NA,NA,"growingCondition",NA
"status",NA,NA,"status",NA
"light","l6",NA,"light",NA
