,,yr,m,cm,cm2,m2,kg,kg/m2,kg/m3,kg,kg,kg,kg,kg,per,per,per,per
spp,Filter,age ,H,dbh,a.ssbh,a.lf,m.lf,LMA,RHO,m.tot,m.ht,m.sa,m.ba,m.st,N.sa,N.ht,N.ba,N.lf
acru,0,53,10.32,6.3,25.82,5.92947425,0.41,0.069157096,651.3528633,11.00385344,0,9.192302025,1.4,10.594,0.062,0.03,0.272,1.664
acru,0,55,13.85,10.4,75.36,19.28420103,1.65,0.085681895,535.3757194,34.96011988,0,30.06889297,3.24,33.308,0.105,0.031,0.325,1.9964
acru,0,46,16.5,12.9,105.81,34.01686961,2.49,0.073243408,533.8389813,69.48060641,0,59.67696033,7.31,66.989,0.059,0.035,0.342,1.573
acru,0,64,17.88,13.4,118.65,34.09829708,2.57,0.075368583,541.4008659,65.6355826,0,55.75281384,7.31,63.066,0.042,0.024,0.258,1.8466
acru,0,61,18.8,14.6,151.82,33.30459243,3.36,0.100747031,564.7269642,83.11350565,0,71.18206257,8.58,79.758,0.075,0.015,0.366,2.0688
acru,0,71,14.52,15.1,145.12,36.02280776,2.73,0.075762186,523.4269284,86.94541797,0,73.9045873,10.31,84.216,0.072,0.017,0.326,1.8426
acru,0,59,19.6,21,221.77,127.6714592,8.76,0.068607353,541.8189132,193.170265,0,171.1862827,13.22,184.411,0.104,0.035,0.462,2.3069
acru,0,110,26.34,26.5,388.04,105.878789,7.82,0.073850164,491.2127244,425.3949114,8.006757937,364.6258602,44.94,417.576,0.135,0.054,0.309,2.213
acru,0,76,27,36.9,455.73,224.7111664,21.11,0.093925867,472.8912678,948.0843638,296.5837556,535.3045033,95.09,926.978,0.126,0.072,0.323,1.6688
acru,0,135,33.55,45.1,1073.87,162.2402608,12.75,0.078570871,496.276539,1653.644501,209.9783018,1247.211039,183.71,1640.897,0.085,0.053,0.303,1.8457
acru,0,100,29,52.4,1570.65,311.2121588,22.35,0.071826214,498.9878441,2386.940395,85.52046078,2089.195009,189.87,2364.587,0.09,0.032,0.319,1.833
bele,0,29,13.3,7.8,31.1,9.655817743,0.2,0.020283109,481.4933587,14.97422543,0.001206523,12.86415661,1.91,14.778,0.085,0.065,0.546,1.0987
bele,0,44,16.95,11.6,50.64,24.70575409,0.54,0.022011876,555.1369349,56.88753732,8.964426965,40.21514118,7.16,56.344,0.097,0.041,0.458,2.6681
bele,0,49,19.9,13,75.65,20.43314694,0.81,0.039754184,513.0518231,57.90132649,0,49.4054069,7.68,57.089,0.075,0.03,0.391,2.4483
bele,0,79,18.79,15.8,127.89,29.79295303,0.65,0.021773872,497.6227581,80.68820102,0,72.37333376,7.67,80.039,0.037,0.035,0.424,2.8298
bele,0,83,23.22,18,202.3,53.84392565,1.98,0.036729524,546.3588738,185.6398179,0,161.5661596,22.1,183.662,0.067,0.021,0.417,2.7942
bele,0,65,21.7,22.1,221.77,86.86622421,3.3,0.037964568,545.4350445,214.3995542,19.33590187,173.5519986,18.21,211.102,0.088,0.053,0.512,2.7281
bele,0,68,25.71,29.2,498.42,151.1376619,4.53,0.029960127,552.4415698,566.6502421,17.17292452,490.6600568,54.29,562.122,0.098,0.051,0.368,2.9865
bele,0,67,27,31.9,559.11,126.2915608,6.58,0.052133968,458.0880623,747.3128895,53.27584757,615.9242559,71.53,740.729,0.098,0.058,0.372,2.8351
bele,0,63,23.9,36.2,778.73,157.5478099,9.45,0.059973221,372.9995025,873.2889107,314.2694265,460.1210933,89.45,863.84,0.127,0.091,0.307,2.4741
bele,0,100,28.2,39.6,881.68,309.3705515,18.59,0.060101798,558.8990687,1520.024644,106.7835435,1287.804477,106.84,1501.431,0,0,0,2.6345
caov,0,45,9.7,8.2,14.6,16.84157331,0.76,0.044871621,592.1592971,16.78788582,4.118368247,9.236737769,2.68,16.032,0.341,0.163,0.565,2.0065
caov,0,57,14.65,12.7,51.45,20.85009329,1.55,0.074109884,584.479472,48.98947132,0,38.99567134,8.45,47.444,0.178,0.1,0.476,1.7586
caov,0,60,18.6,15.9,111.27,7.583643895,0.65,0.085802267,549.0063601,82.90592918,8.998392937,59.01773723,14.24,82.255,0.222,0.126,0.437,2.0328
caov,0,63,23.6,19.8,96.43,13.92624965,1.58,0.113260593,543.6966841,196.7926211,42.08032957,122.1367847,31,195.215,0.193,0.093,0.37,2.1176
caov,0,48,24.2,21.1,102.23,23.78642674,1.96,0.082241321,602.7754578,216.7759881,66.03638982,115.4441973,33.34,214.82,0.24,0.152,0.769,1.7306
caov,0,121,21.23,23.3,230.36,55.3861397,4.11,0.074212364,680.4059971,327.8891335,0,297.2148976,26.56,323.779,0.272,0.164,0.604,2.0902
caov,0,94,29.51,32.7,553.07,120.987555,9.25,0.076450759,519.0808312,703.8391486,23.22202912,591.8635519,79.5,694.59,0.22,0.144,0.602,2.2405
caov,0,114,31.61,38.9,361.15,357.2713088,31.88,0.089244872,688.487485,1145.104436,26.82068966,989.4989512,96.9,1113.22,0.266,0.16,0.657,2.3148
caov,0,171,26.6,46.6,737.98,245.2908377,30.53,0.124460701,585.4017131,1812.946517,426.3100299,1199.460061,156.65,1782.417,0.259,0.208,0.608,2.1601
caov,0,188,28.9,52.3,536.26,223.995043,24.01,0.107180366,574.7154467,2709.714119,1230.40814,1175.539643,279.76,2685.706,0.403,0.279,0.655,1.9284
cofl,0,21,5.55,3.82,7.77,3.903986651,0.12,0.030505569,537.7156903,1.88803574,0,1.712925809,0.06,1.769,0.186,0.182,0.733,2.096
cofl,1,0,4.64,5.7,9.48,5.298316843,0.14,0.025593033,1666.196465,4.431911392,0,4.135298734,0.16,4.296,0.216,0.199,0.851,2.081
cofl,0,0,7,6.8,12.95,13.15877956,0.58,0.043938449,517.1677733,9.260290689,1.261669048,7.152434239,0.27,8.682,0.225,0.231,0.907,2.518
cofl,0,0,10,10.2,67.31,21.33134682,0.75,0.035226902,481.6742725,26.73682133,0,24.77795279,1.21,25.985,0.224,0.207,0.832,2.072
litu,0,30,14.1,10.2,53.72,15.46346209,0.75,0.04869548,351.2432934,27.21328671,0.818555913,20.23182077,5.41,26.46,0.155,0.116,0.358,2.4556
litu,0,46,18.3,17,91.28,39.61989508,2.32,0.058451954,388.4150869,86.3311763,9.38631725,59.90736664,14.72,84.015,0.177,0.163,0.327,2.6444
litu,0,70,23.15,20.1,156.25,19.86378014,1.3,0.065428023,443.5771088,147.097328,10.44432295,108.969721,26.38,145.798,0.133,0.072,0.361,1.8884
litu,0,65,30.4,26.2,285.42,79.49375249,3.8,0.047793313,355.2937206,332.7489808,84.60270822,190.787933,53.56,328.95,0.136,0.078,0.298,2.254
litu,0,66,29.13,29.2,335.94,88.89010895,6.14,0.069053377,406.9184206,505.3947987,115.9597346,313.4789213,69.82,499.257,0.136,0.094,0.327,2.7332
litu,0,64,30.11,30.3,364.37,53.38075369,3.3,0.061840793,380.7110562,540.9079506,178.3934642,289.2630171,69.95,537.607,0,0,0,3.5795
litu,0,69,30.55,34.4,510.21,151.8396053,10.57,0.069619761,316.1541351,673.2111811,241.6712642,330.790347,90.18,662.64,0.2,0.075,0.416,2.5028
litu,0,69,34.34,41,767.53,274.7883842,16.47,0.05995389,350.6251982,892.436467,182.6216526,572.7270226,120.61,875.962,0.182,0.086,0.462,3.3217
litu,0,68,34.95,47.4,540.39,206.6653502,11.53,0.055802015,322.1685722,1456.053886,723.2922961,541.41756,179.81,1444.522,0.119,0.129,0.417,2.5675
litu,0,81,39.69,55.8,985.2,266.4318575,16.66,0.06252589,385.0302013,2256.334134,821.6050561,1159.507321,258.56,2239.675,0.185,0.093,0.368,2.4037
oxar,0,25,5.1,4.3,8.76,4.870042804,0.2,0.040430035,380.2483768,2.106540582,0.059935328,1.656391832,0.19,1.91,0.218,0.205,0.963,2.115
oxar,0,47,16.35,11.6,79.84,17.24473776,0.77,0.044939528,522.8053336,45.49043505,0,40.53532981,4.18,44.715,0.218,0.24,1.021,1.8617
oxar,0,48,14.25,13.8,91.96,17.63449415,1.4,0.07925933,489.3709879,57.94513851,2.181604525,49.13138973,5.23,56.547,0.274,0.221,1.06,2.0082
oxar,0,59,19.64,19.3,183.52,44.6569881,1.89,0.042292239,385.3371318,126.2533125,19.74504523,92.34976929,12.27,124.365,0.26,0.241,0.847,2.1996
oxar,0,55,19.1,20.2,194.25,38.11978314,2.09,0.054699728,452.4207927,124.6608915,0.347214299,112.7672452,9.46,122.576,0.292,0.208,0.901,2.2441
oxar,0,49,19.9,22.5,301.93,50.07580268,4.05,0.08084234,531.4208212,247.6329157,0,225.5653223,18.02,243.585,0.23,0.231,0.928,1.7352
oxar,0,103,20.5,28.4,434.15,42.8106103,3.34,0.078032089,463.704011,344.7950335,0,311.5883443,29.87,341.454,0,0,0,2.4669
oxar,0,88,17.2,34.6,459.15,70.79125505,4.37,0.061684201,262.887691,415.656237,181.2046398,186.0919957,43.99,411.29,0.25,0.203,0.805,2.0193
qual,0,22,7.8,7,18.13,15.49219809,0.73,0.047442783,434.036119,9.970280734,0,8.283323275,0.95,9.235,0.544,0.277,0.716,2.5944
qual,0,66,11.5,12.6,41.58,32.68869207,2,0.061199443,611.3914896,41.31308581,6.061052637,29.16789197,4.08,39.313,0.3,0.287,0.518,2.6173
qual,0,76,15,16.9,50.05,26.72454944,1.93,0.072107096,574.8036369,83.24918997,24.05549009,48.99313293,8.27,81.322,0.36,0.194,0.864,2.442
qual,0,130,16.4,22.7,48.99,20.83836733,1.69,0.080913817,458.3491045,133.1407474,79.82152116,38.47855336,13.15,131.455,0.457,0.242,0.896,2.5633
qual,0,180,19.6,27.9,113.03,160.0667531,16.5,0.103094095,592.1165604,403.268358,156.7240747,196.9026393,33.14,386.766,0.358,0.222,0.776,2.6094
qual,0,181,18.1,29.2,68.98,57.8836412,5.17,0.089275922,442.015521,281.6631175,134.405459,119.802734,22.29,276.496,0.426,0.209,0.721,2.5561
qual,0,168,25.55,32.4,169.98,161.9478779,14.34,0.088520222,514.7032643,573.7730763,288.1655385,216.2980324,54.97,559.437,0.269,0.237,0.685,2.8192
qual,0,181,21.8,41.3,81.07,93.345255,9.21,0.09869743,482.749122,805.6619236,490.1574427,216.0864946,90.21,796.449,0.382,0.222,0.685,2.6205
qual,0,148,26.2,44.9,219.53,443.2075404,43.78,0.098781054,499.2490074,1448.538997,605.2788783,687.8223189,111.66,1404.758,0.303,0.199,0.632,2.5708
qual,0,264,31.9,63,423.24,112.9,12.31,0.109047724,503.7048425,2739.709469,1647.836715,850.5051441,229.06,2727.398,0.536,0.238,1.03,2.5598
quco,0,41,13.5,15,57.12,51.28642523,5.72,0.111548554,437.0074443,74.85493974,7.959144274,53.65941775,7.52,69.134,0.312,0.178,0.529,2.0313
quco,0,94,18.9,23.9,38.95,82.38704581,7.3,0.088597182,482.132446,264.0741754,120.388774,93.39838664,42.99,256.775,0.258,0.204,0.543,1.9272
quco,0,106,22.35,28.6,82.91,86.92216749,8.41,0.096776052,437.3120211,421.0776592,192.9301157,152.2609139,67.47,412.666,0.261,0.176,0.501,1.8267
quco,0,97,22.29,34,81.87,102.923209,10.04,0.097550653,443.4426893,672.1154229,261.8877651,295.2323444,104.96,662.075,0.297,0.186,0.517,1.6549
quco,0,98,26.14,43.3,165.02,180.5747349,16.27,0.090080343,456.925046,1338.885058,598.5060405,553.0900471,171.02,1322.619,0.33,0.201,0.517,1.9386
qupr,0,50,12.3,10.6,37.95,14.52106044,1.09,0.075270609,414.0191927,26.61936076,4.014408237,16.83770597,4.67,25.526,0.196,0.125,0.38,2.4618
qupr,0,85,14.39,15,33.91,20.68978693,1.04,0.050481059,473.8581951,65.04022044,27.60484995,23.0363432,13.35,63.996,0.295,0.087,0.388,0.8976
qupr,0,93,14.3,18.5,45.89,42.74932402,4.54,0.106169684,411.8253899,100.6039347,30.71726649,50.70531961,14.64,96.065,0.157,0.089,0.434,2.4478
