"lookupVariable","lookupValue","newVariable","newValue","source"
"species","acru","species","Acer rubrum L.","from paper[D Barneche]"
"species","bele","species","Betula lento. L.","from paper[D Barneche]"
"species","caov","species","Carya ovata (Mill.) K. Koch","from paper[D Barneche]"
"species","cofl","species","Cornus florida L.","from paper[D Barneche]"
"species","litu","species","Liriodendron tulipifera L.","from paper[D Barneche]"
"species","oxar","species","Oxydendrum arboreum (L.) DC.","from paper[D Barneche]"
"species","qual","species","Quercus alba L.","from paper[D Barneche]"
"species","quco","species","Quercus coccinea Muenchh.","from paper[D Barneche]"
"species","qupr","species","Quercus prinus L.","from paper[D Barneche]"
"species","quru","species","Quercus rubra L.","from paper[D Barneche]"
"","","latitude","35","from paper[D Barneche]"
"","","longitude","-83","from paper[D Barneche]"
"","","map","2035","from paper[D Barneche]"
"","","vegetation","TempRF","from paper[D Barneche]"
"","","growingCondition","FW","from paper[D Barneche]"
"","","pft","DA","from paper[D Barneche]"
