species,wood.type,collection.site,individual.number,sample,lf.A.m2,hydraulic.conductivity.Kg.m.Mpa-1.s-1,stem.d.mm,conduit.diameter.microns,conduit.diameter.stdev,conduit.frequency.mm-2,xylem.area.m2,sapwd.area.m2,height.m
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",1,LowerTrunk,0.3667137,7.47E-04,9.59,62.43095779,28.43774595,79.10385132,0.000038481,0.000020676,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",1,UpperTrunk,0.3667137,5.59E-04,9.14,53.31441116,28.96574335,88.13600922,0.000035861,0.000023686,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",1,branch1,0.0199964,1.61E-06,3.175,23.88694572,11.4236557,214.2360535,0.00000352,0.00000352,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",1,branch2,0.0319417,6.46E-07,2.25,25.33396149,11.83502065,141.3060608,0.000000987,0.000000987,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",1,branch3,0.0572982,2.60E-07,3.03,25.50822258,10.1814251,204.8419189,0.000001665,0.000001665,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",1,branch4,0.0376041,4.72E-06,2.6,22.54080582,11.1712757,176.8831024,0.000002082,0.000002082,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",1,branch5,0.0427585,4.14E-07,2.8,28.90025902,9.484825551,141.5323944,0.00000122,0.00000122,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",2,LowerTrunk,0.4386061,5.23E-04,13.68,55.87214273,26.06102924,28.85934152,0.000082142,0.00007448,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",2,UpperTrunk,0.4386061,4.37E-04,13.34,,,,0.0000742,0.000069377,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",2,branch1,0.0097361,1.81E-06,2.65,24.85972023,8.220933365,259.6259766,0.000001908,0.000001908,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",2,branch2,0.0358417,2.63E-06,3.2,26.75834465,,110.7740631,0.000003929,0.000003929,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",2,branch3,0.0161172,8.27E-07,2.85,22.55673599,10.91977869,144.6864777,2.86E-06,2.86E-06,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",2,branch4,0.013025,2.79E-07,1.76,21.63917542,8.463516654,141.6645508,0.000001003,0.000001003,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",2,branch5,0.0276087,4.72E-08,1.88,18.89426099,5.425337228,128.9150612,2.02E-06,2.02E-06,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",3,LowerTrunk,0.1799524,6.66E-04,7.88,38.24302673,22.72218253,84.67079163,0.000035796,0.000018703,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",3,UpperTrunk,0.1799524,1.34E-04,8.98,37.65473557,22.41795517,105.077179,0.000027937,0.000018388,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",3,branch1,0.0128536,1.54E-06,2.22,23.96406364,9.284232286,288.7886353,1.97E-06,1.97E-06,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",3,branch2,0.0300323,3.96E-07,2.64,23.0378042,8.932915244,311.7024042,2.22E-06,2.22E-06,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",3,branch3,0.0102184,,1.63,21.37509537,9.33792126,299.0733032,9.81E-07,9.81E-07,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",3,branch4,0.0158472,1.21E-06,2.47,,,,0.000001376,0.000001376,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",3,branch5,0.0189298,1.24E-06,2.24,20.4868679,9.804541576,355.9404602,1.56E-06,1.56E-06,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",4,LowerTrunk,0.5717936,no Kh meas,11.2,48.23630524,26.92374613,28.16383743,0.000069597,0.000069143,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",4,UpperTrunk,0.5717936,no Kh meas,10.9,58.13141251,28.84895201,20.2722435,0.000059224,0.000057273,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",4,branch1,0.011948,no Kh meas,2.5,27.07305336,8.993410384,304.2756042,1.14E-06,1.14E-06,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",4,branch2,0.0191155,no Kh meas,2.5,27.63166237,11.76022836,262.1368103,2.66E-06,2.66E-06,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",4,branch3,0.0170854,no Kh meas,2.5,25.74574852,11.71569921,199.4391785,2.78E-06,2.78E-06,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",4,branch4,0.0219154,no Kh meas,3.5,24.69503784,9.625057223,267.6555481,2.05E-06,2.05E-06,
Quercus ellipsoidalis,ring-porous,"Minnesota, USA",4,branch5,0.0103873,no Kh meas,2.5,19.72838783,8.777022584,280.2819519,9.58E-07,9.58E-07,
