"var_in","method","unit_in","var_out","notes"
"A.lf.m2","b","m2","a.lf",NA
"stem.d.mm","","mm","d.ba",NA
"sapwd.area.m2","","m2","a.ssba",NA
"height.m","","m","h.t",NA
"species",NA,NA,NA,NA
"wood.type",NA,NA,NA,NA
"collection.site",NA,NA,NA,NA
"individual.number",NA,NA,NA,NA
"sample",NA,NA,NA,NA
"hydraulic.conductivity.Kg.m.Mpa-1.s-1",NA,NA,NA,NA
"conduit.diameter.microns",NA,NA,NA,NA
"conduit.diameter.stdev",NA,NA,NA,NA
"conduit.frequency.mm-2",NA,NA,NA,NA
"xylem.area.m2",NA,NA,NA,NA
latitude,,,,
longitude,,,,
growingCondition,,,,
vegetation,,,,
status,,,,
Family,,,family,
pft,,,,
collection.site,,,location,
