status,spdataset,dataset,species,age,dbh,sapbh,sapcb,h_t,h_c,cw,m_lf,a_lf,wbr,m_st,a_cs,SAcon,Vell,sp,authorname,reference,country,remark,a_cp,a_st,a_ss_dbh,a_ss_crownbase
3,MonserudMarshall-PIMO,MonserudMarshall,PIMO,76,60.71,957.91087,549.66876,39.84000257,24.87,4.3820834,22.6991375,329.5767282,139.2559,NA,272.5370952,186.9339702,250.0550819,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,15.08172991,0.289474523,0.095791087,0.054966876
3,MonserudMarshall-PIMO,MonserudMarshall,PIMO,76,70.61,1854.08158,974.255,40.65999885,32.61,7.1496154,59.6348896,888.0874842,541.30618,NA,586.941321,408.5706829,872.800089,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,40.14719821,0.391581625,0.185408158,0.0974255
3,MonserudMarshall-PIMO,MonserudMarshall,PIMO,75,57.66,1086.7947,670.46299,38.88999786,26.21,5.7054238,70.0491108,984.614269,310.56688,NA,376.3593693,261.8489538,446.7262391,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,25.56617164,0.261119411,0.10867947,0.067046299
3,MonserudMarshall-PIMO,MonserudMarshall,PIMO,73,43.13,507.57141,293.98239,36.23999975,23.01,3.8427906,17.5393899,244.6674139,100.40178,NA,220.8405661,150.9753102,177.9134086,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,11.59800578,0.146099523,0.050757141,0.029398239
2,MonserudMarshall-PIMO,MonserudMarshall,PIMO,65,18.29,73.3876,70.01825,23.1300004,14.02,1.8632654,5.5281699,79.5640488,14.48567,NA,64.96761705,43.85109036,25.48567114,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,2.726712318,0.026273461,0.00733876,0.007001825
3,MonserudMarshall-PIMO,MonserudMarshall,PIMO,90,43.43,468.12872,292.85141,37.5899983,20.97,3.991628,19.2203899,274.1256018,108.44781,NA,209.7562738,144.5906058,174.9432432,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,12.51382284,0.148139045,0.046812872,0.029285141
2,MonserudMarshall-PIMO,MonserudMarshall,PIMO,71,18.54,111.10046,72.49029,21.28999927,10.03,1.9425642,7.2873643,106.0453468,16.54457,NA,48.84964885,33.71217818,19.81756616,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,2.963743694,0.026996617,0.011110046,0.007249029
2,MonserudMarshall-PIMO,MonserudMarshall,PIMO,57,12.95,40.4323,37.62057,13.43999951,5.4,2.3268422,3.309666,44.49984612,8.71068,NA,33.11694762,24.44215201,15.30827465,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,4.252298514,0.013171324,0.00404323,0.003762057
3,MonserudMarshall-PIMO,MonserudMarshall,PIMO,101,37.85,448.41326,234.45706,36.59,15.48,3.052,25.9070611,363.625555,72.02907,NA,118.5148205,81.88767828,75.49855459,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,7.315751414,0.112517908,0.044841326,0.023445706
3,MonserudMarshall-PIMO,MonserudMarshall,PIMO,84,26.92,231.77885,194.95153,29.04999924,15.64,2.7542858,11.7639333,166.6226009,35.87333,NA,107.7231762,73.88514844,62.12313689,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,5.958101364,0.056916737,0.023177885,0.019495153
3,MonserudMarshall-PIMO,MonserudMarshall,PIMO,100,38.61,447.98326,389.57123,35.51999923,24.32,3.3858064,27.2182455,399.2266671,114.06445,NA,204.9344322,138.6603311,145.9776729,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,9.003557128,0.117081825,0.044798326,0.038957123
2,MonserudMarshall-PIMO,MonserudMarshall,PIMO,57,6.48,16.63277,12.56441,5.420000304,3.05,2.0065,1.440712,18.05612872,3.50621,NA,17.2093866,13.28174375,6.429493917,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,3.162046189,0.003297918,0.001663277,0.001256441
3,MonserudMarshall-PIMO,MonserudMarshall,PIMO,84,31.75,373.50395,272.70595,34.55999883,13.96,2.965625,15.9863381,219.6499342,44.72725,NA,104.105542,72.30451241,64.28601552,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,6.907523158,0.079173044,0.037350395,0.027270595
3,MonserudMarshall-PIMO,MonserudMarshall,PIMO,99,73.66,1001.19416,575.94818,44.64000038,20.5,4.2919048,48.7019138,654.8866896,275.71655,NA,221.1357644,153.4275693,197.7209296,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,14.4673851,0.42614099,0.100119416,0.057594818
3,MonserudMarshall-PIMO,MonserudMarshall,PIMO,35,28.19,389.63603,450.74786,22.59000012,21.49,3.7057142,21.4962186,311.1821353,91.76231,NA,199.0436078,136.3410487,154.5179299,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,10.78533713,0.062413715,0.038963603,0.045074786
3,MonserudMarshall-PIMO,MonserudMarshall,PIMO,87,61.47,765.14274,432.06324,44.9899975,22.16,3.8370732,20.4878577,286.5723834,199.86339,NA,212.5460219,145.6272427,170.8317332,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,11.56351984,0.296767479,0.076514274,0.043206324
3,MonserudMarshall-PIMO,MonserudMarshall,PIMO,82,51.56,683.20804,364.40707,40.22999936,20.73,5.3188236,35.5972344,501.36687,220.55688,NA,279.4172766,196.8329793,307.0641383,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,22.21882332,0.208792887,0.068320804,0.036440707
3,MonserudMarshall-PIMO,MonserudMarshall,PIMO,24,18.29,202.01226,224.41182,12.97999965,12.34,3.004762,13.3490878,193.7395532,28.04785,NA,93.7386961,65.7643018,58.3356362,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,7.091041677,0.026273461,0.020201226,0.022441182
2,MonserudMarshall-PIMO,MonserudMarshall,PIMO,51,8.38,21.24306,20.83465,4.949999798,3.64,1.3742858,1.2328471,15.46046384,4.36969,NA,13.01088254,9.479887865,3.599599014,Pinus monticola,Dougl. ex D. Don,Monserud and Marshall 1999,USA,,1.483351242,0.005515411,0.002124306,0.002083465
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,95,69.6,2238.38476,1068.94064,39.36999864,18.47,5.6052174,62.3793946,447.7698965,452.42455,NA,264.8168078,189.1594733,303.8438433,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,24.67600243,0.380459437,0.223838476,0.106894064
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,107,58.42,1853.15481,1273.34247,35.8099995,25.12,5.7666666,83.1791667,597.8075054,595.64015,NA,365.3156872,255.1554748,437.3890881,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,26.11797899,0.268048256,0.185315481,0.127334247
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,50,33.27,623.49618,579.43535,20.80000143,17.08,4.0327272,29.6545571,216.0306901,160.44416,NA,173.9031048,121.7190269,145.4401044,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,12.77284289,0.086935165,0.062349618,0.057943535
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,85,44.2,981.42569,499.12053,29.11000066,14.97,4.42,28.7343676,213.4706329,149.72883,NA,168.9617418,120.4058526,153.1316497,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,15.34385268,0.153438527,0.098142569,0.049912053
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,73,30.48,361.31457,192.34205,22.39999889,11.25,3.2154286,37.1454523,235.3788244,44.13532,NA,92.19346282,65.51881955,60.90162565,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,8.120216753,0.072965877,0.036131457,0.019234205
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,85,27.43,298.52199,124.04579,27.69000074,9.6,2.6533334,10.713481,81.3366566,22.9836,NA,64.79710618,45.92092335,35.38779504,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,5.529342975,0.059093743,0.029852199,0.012404579
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,90,43.18,892.44008,397.17585,35.58000047,15.11,4.4381818,21.2883618,160.8347292,106.4041,NA,171.1894621,121.9393507,155.8379631,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,15.47034709,0.146438461,0.089244008,0.039717585
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,83,38.86,711.38224,258.8044,33.12000106,11.61,3.176,15.0986437,109.3295016,58.24071,NA,93.74836812,66.38212043,61.31854337,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,7.922292425,0.118602945,0.071138224,0.02588044
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,93,52.58,1320.45066,773.24805,41.16000258,20.19,4.5062222,52.3947709,379.9437892,214.34109,NA,229.1915696,159.7474853,214.6644593,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,15.94832536,0.217135606,0.132045066,0.077324805
2,MonserudMarshall-PIPO,MonserudMarshall,PIPO,76,20.83,214.13881,43.91161,23.34000042,4.83,2.1616666,2.9558712,23.14333056,8.25614,NA,27.63790786,20.47607137,11.81743379,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,3.670010493,0.034077555,0.021413881,0.004391161
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,66,24.13,281.35907,132.97969,25.94000095,11.43,2.2210526,6.2883452,48.9541408,22.60111,NA,63.65503735,43.93943032,29.52313962,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,3.874427772,0.04573035,0.028135907,0.013297969
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,90,24.89,284.10797,105.43185,25.11000022,9.18,2.003125,6.5736335,51.09306308,16.77015,NA,46.28459319,32.20770606,19.28667694,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,3.151417801,0.048656367,0.028410797,0.010543185
3,MonserudMarshall-PIPO,MonserudMarshall,PIPO,94,45.97,1003.15569,336.119,30.3899993,10.45,3.5756756,21.2531217,157.255473,87.36908,NA,96.38824395,69.58854511,69.95699315,Pinus ponderosa,Dougl. ex P. &C. Laws.,Monserud and Marshall 1999,USA,,10.04167366,0.165973552,0.100315569,0.0336119
