Tree No.,cm,m,cm,m,kg fresh weight,kg fresh weight,kg fresh weight,kg fresh weight,kg dry weight,kg dry weight,kg dry weight,kg dry weight,m^2(one-sided area),m^2,m,m,
hinoki..Chamaecyparis.obtusa.,DBH..Diameter.at.1.3m.height.,clear.bole.length.,Diameter.at.clear.bole.length,Tree.Heigh,Stem.weight.fresh,Root.weight.fresh,Branch.weight.fresh,Leaf.weight.fresh,Stem.weight,Root.weight,Branch.weight,Leaf.weight,Leaf.area,crown.projection.area.calculated.by.crown.diameter..A.B,crown.diameter.A,crown.diameter.B,status
1,13.31,4.73,10,12.05,67.36,27.45,6.82,15.23,32.84,11,3.42,5.82,22.61,5.712,2.38,2.4,3
2,10.57,3.8,9.04,10.4,43.12,17.95,4.44,8.16,19.38,7.32,2.25,3.26,12.83,5.83,2.2,2.65,2
3,6.81,5.32,4.65,9.21,17.93,5.55,1.12,3.5,7.92,2.29,0.58,1.47,6.11,3.2005,1.73,1.85,2
4,5.83,4.09,3.5,6.96,9.86,3.46,0.44,1.11,4.46,1.35,0.21,0.4,2.47,3.222,1.79,1.8,1
5,3.88,1.76,3.6,5.18,3.3,1.48,0.48,0.49,1.65,0.63,0.25,0.18,1.3,2.442,1.32,1.85,0
6,3.5,2.26,2.86,4.17,3.37,No data,0.34,0.37,1.6,No data,0.18,0.14,0.89,No data,No data,No data,0
7,14.43,5.75,9.8,10.97,73.63,26.41,7.61,14.04,33.09,11.39,3.77,5.68,23.75,11.385,3.3,3.45,3
8,9.29,6,5.95,10.1,34.9,11.7,2.09,5.99,14.67,4.54,1,2.41,10.25,3.9188,1.94,2.02,2
9,7.64,5.9,5.06,10.01,23.52,7.53,1.5,3.6,10.63,2.82,0.7,1.35,6,3.52,1.6,2.2,2
10,5.32,4.38,4.11,8.04,9.8,3.05,0.64,2.38,4.4,1.17,0.32,0.91,3.67,4.2,2.1,2,1
11,4.39,3.71,2.83,5.67,4.97,1.68,0.21,0.27,2.25,0.63,0.11,0.09,0.57,1.82,1.3,1.4,0
12,3.98,3.58,2.26,5.59,4.16,1.61,0.23,0.57,1.89,0.59,0.11,0.19,0.99,1.43,1.3,1.1,0
13,8.75,4.48,6.24,9.3,26.51,9.9,2.53,4.75,12.42,4,1.37,1.78,6.84,7.83,2.9,2.7,2
14,8.66,5.3,5.38,9.4,25.48,No data,2.18,4.22,11.26,No data,1.02,1.6,7.56,No data,No data,No data,2
