dataset,grouping,location,latitude,longitude,vegetation,lai,map,mat,family,species,pft,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light,method_lai,method_age,method_a.lf,method_a.ssba,method_a.ssbh,method_a.ssbc,method_a.shba,method_a.shbh,method_a.shbc,method_a.sbba,method_a.sbbh,method_a.sbbc,method_a.stba,method_a.stbh,method_a.stbc,method_a.cp,method_a.cs,method_h.t,method_h.c,method_d.ba,method_d.bh,method_d.cr,method_c.d,method_m.lf,method_m.ss,method_m.sh,method_m.sb,method_m.st,method_m.so,method_m.br,method_m.rf,method_m.rc,method_m.rt,method_m.to,method_a.ilf,method_ma.ilf,method_r.st,method_r.ss,method_r.sb,method_r.sh,method_n.lf,method_n.ss,method_n.sb,method_n.sh,method_n.rf,method_n.rc,method_light
Mori1991,NA,"Inabu, Aich, Japan",35,137,TempF,6.6,"2,300",13.3,Cupressaceae,Chamaecyparis obtusa,evergreen coniferous tree,29,22.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71,NA,12.05,4.73,NA,0.1331,2.38,7.32,5.82,NA,NA,NA,36.26,42.08,3.42,NA,NA,11,53.08,22.61,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PU,3,NA,NA,NA,"b,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,NA,NA,NA,m0,NA,NA,NA,m0,NA,m0,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mori1991,NA,"Inabu, Aich, Japan",35,137,TempF,6.6,"2,300",13.3,Cupressaceae,Chamaecyparis obtusa,evergreen coniferous tree,29,12.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83,NA,10.4,3.8,NA,0.1057,2.2,6.6,3.26,NA,NA,NA,21.63,24.89,2.25,NA,NA,7.32,32.21,12.83,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PU,2,NA,NA,NA,"b,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,NA,NA,NA,m0,NA,NA,NA,m0,NA,m0,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mori1991,NA,"Inabu, Aich, Japan",35,137,TempF,6.6,"2,300",13.3,Cupressaceae,Chamaecyparis obtusa,evergreen coniferous tree,29,6.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,9.21,5.32,NA,0.0681,1.73,3.89,1.47,NA,NA,NA,8.5,9.97,0.58,NA,NA,2.29,12.26,6.11,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PU,2,NA,NA,NA,"b,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,NA,NA,NA,m0,NA,NA,NA,m0,NA,m0,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mori1991,NA,"Inabu, Aich, Japan",35,137,TempF,6.6,"2,300",13.3,Cupressaceae,Chamaecyparis obtusa,evergreen coniferous tree,29,2.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.22,NA,6.96,4.09,NA,0.0583,1.79,2.87,0.4,NA,NA,NA,4.67,5.07,0.21,NA,NA,1.35,6.42,2.47,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PU,1,NA,NA,NA,"b,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,NA,NA,NA,m0,NA,NA,NA,m0,NA,m0,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mori1991,NA,"Inabu, Aich, Japan",35,137,TempF,6.6,"2,300",13.3,Cupressaceae,Chamaecyparis obtusa,evergreen coniferous tree,29,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44,NA,5.18,1.76,NA,0.0388,1.32,3.42,0.18,NA,NA,NA,1.9,2.08,0.25,NA,NA,0.63,2.71,1.3,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PU,0,NA,NA,NA,"b,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,NA,NA,NA,m0,NA,NA,NA,m0,NA,m0,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mori1991,NA,"Inabu, Aich, Japan",35,137,TempF,6.6,"2,300",13.3,Cupressaceae,Chamaecyparis obtusa,evergreen coniferous tree,29,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17,2.26,NA,0.035,NA,1.91,0.14,NA,NA,NA,1.78,1.92,0.18,NA,NA,NA,NA,0.89,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PU,0,NA,NA,NA,"b,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,NA,NA,NA,m0,NA,NA,NA,m0,NA,m0,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mori1991,NA,"Inabu, Aich, Japan",35,137,TempF,6.6,"2,300",13.3,Cupressaceae,Chamaecyparis obtusa,evergreen coniferous tree,29,23.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.39,NA,10.97,5.75,NA,0.1443,3.3,5.22,5.68,NA,NA,NA,36.86,42.54,3.77,NA,NA,11.39,53.93,23.75,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PU,3,NA,NA,NA,"b,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,NA,NA,NA,m0,NA,NA,NA,m0,NA,m0,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mori1991,NA,"Inabu, Aich, Japan",35,137,TempF,6.6,"2,300",13.3,Cupressaceae,Chamaecyparis obtusa,evergreen coniferous tree,29,10.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.92,NA,10.1,6,NA,0.0929,1.94,4.1,2.41,NA,NA,NA,15.67,18.08,1,NA,NA,4.54,22.62,10.25,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PU,2,NA,NA,NA,"b,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,NA,NA,NA,m0,NA,NA,NA,m0,NA,m0,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mori1991,NA,"Inabu, Aich, Japan",35,137,TempF,6.6,"2,300",13.3,Cupressaceae,Chamaecyparis obtusa,evergreen coniferous tree,29,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52,NA,10.01,5.9,NA,0.0764,1.6,4.11,1.35,NA,NA,NA,11.33,12.68,0.7,NA,NA,2.82,15.5,6,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PU,2,NA,NA,NA,"b,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,NA,NA,NA,m0,NA,NA,NA,m0,NA,m0,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mori1991,NA,"Inabu, Aich, Japan",35,137,TempF,6.6,"2,300",13.3,Cupressaceae,Chamaecyparis obtusa,evergreen coniferous tree,29,3.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,8.04,4.38,NA,0.0532,2.1,3.66,0.91,NA,NA,NA,4.72,5.63,0.32,NA,NA,1.17,6.8,3.67,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PU,1,NA,NA,NA,"b,1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,z,NA,NA,NA,NA,NA,NA,NA,m0,NA,NA,NA,m0,NA,m0,NA,NA,m0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
