species,t.leaf.area,t.height,t.leaf.mass,t.stem.mass,t.root.mass
Cornus drummondii,12.23,40,0.07,0.08,0.35
Cornus drummondii,13.28,38,0.08,0.07,0.34
Cornus drummondii,14.33,42,0.08,0.09,0.33
Cornus drummondii,13.35,34,0.06,0.09,0.32
Cornus drummondii,13.31,44,0.11,0.07,0.35
Cornus drummondii,14.43,36,0.09,0.12,0.35
Cornus drummondii,12.33,46,0.1,0.11,0.37
Cornus drummondii,13.38,40,0.06,0.1,0.36
Ulmus parrifolia,36.41,28,0.22,0.29,0.52
Ulmus parrifolia,34.55,27,0.19,0.28,0.55
Ulmus parrifolia,38.45,26,0.2,0.24,0.56
Ulmus parrifolia,34.99,25,0.23,0.29,0.53
Ulmus parrifolia,33.21,27,0.22,0.26,0.57
Ulmus parrifolia,37.89,25,0.23,0.25,0.52
Ulmus parrifolia,35.21,29,0.24,0.26,0.53
Ulmus parrifolia,39.66,29,0.21,0.28,0.55
Ulmus parrifolia,35.89,28,0.18,0.29,0.54
Ulmus parrifolia,38.59,26,0.19,0.23,0.57
Ulmus parrifolia,36.99,28,0.2,0.27,0.56
Ulmus parrifolia,37.25,27,0.22,0.29,0.52
Maclura pomifera,12.11,33,0.12,0.14,0.34
Maclura pomifera,11.56,29,0.11,0.12,0.36
Maclura pomifera,13.56,35,0.1,0.16,0.37
Maclura pomifera,10.25,31,0.14,0.15,0.33
Maclura pomifera,11.88,32,0.12,0.13,0.35
Maclura pomifera,9.56,33,0.14,0.13,0.31
Maclura pomifera,12.11,30,0.12,0.15,0.3
Maclura pomifera,13.56,34,0.08,0.16,0.32
Maclura pomifera,14.11,31,0.11,0.14,0.35
Maclura pomifera,13.44,32,0.09,0.13,0.33
Maclura pomifera,11.67,36,0.13,0.14,0.34
Maclura pomifera,12.11,31,0.13,0.12,0.32
Maclura pomifera,13.99,33,0.15,0.12,0.36
Cercis canadensis,59.33,35,0.5,0.44,1.38
Cercis canadensis,58.25,32,0.8,0.69,1.68
Cercis canadensis,61.23,37,0.4,0.36,1.36
Cercis canadensis,56.99,29,0.4,0.85,1.61
Cercis canadensis,52.66,33,0.2,0.35,1.45
Cercis canadensis,55.23,30,0.2,0.54,1.56
Cercis canadensis,60.23,32,0.6,0.79,1.55
Cercis canadensis,53.66,35,0.3,0.49,1.41
Cercis canadensis,57.14,36,0.4,0.45,1.56
Cercis canadensis,62.88,34,0.3,0.28,1.42
Cercis canadensis,60.25,31,0.4,0.5,1.98
Cercis canadensis,53.89,30,0.5,0.78,1.42
Cercis canadensis,54.69,31,0.9,0.45,1.36
Cercis canadensis,59.38,36,0.6,0.95,1.22
Cercis canadensis,56.33,32,1,0.48,1.31
Cercis canadensis,58.36,34,0.7,0.59,1.44
Quercus shumardii,23.07,36,0.12,0.39,0.6
Quercus shumardii,24.58,35,0.1,0.32,0.6
Quercus shumardii,25.68,39,0.22,0.27,0.55
Quercus shumardii,22.89,36,0.14,0.3,0.62
Quercus shumardii,26.31,37,0.18,0.31,0.64
Quercus shumardii,20.81,39,0.15,0.35,0.61
Quercus shumardii,21.56,35,0.11,0.28,0.68
Quercus shumardii,24.99,34,0.06,0.28,0.58
Quercus shumardii,22.58,38,0.11,0.33,0.59
