dataset,location,latitude,longitude,family,species,pft,a.lf,a.stbc,h.t,h.c,d.ba,d.bh,m.lf,m.st,m.so,m.br,growingCondition
Nishioka0000,Japan-Mt. Minoh-P0,34.853,135.469,Pinaceae,Pinus densiflora,EG,30.86,0.011979089,11.2,5.5,22.76,16.9,6.76,58.012,73.935,9.163,FW
Nishioka0000,Japan-Mt. Minoh-P0,34.853,135.469,Pinaceae,Pinus densiflora,EG,19.16,0.006561185,8.9,5.85,17.73,13.53,4.429,27.618,36.914,4.867,FW
Nishioka0000,Japan-Mt. Minoh-P0,34.853,135.469,Pinaceae,Pinus densiflora,EG,6.08,0.002808615,9.1,5.5,18.46,13.02,1.333,23.002,25.521,1.186,FW
Nishioka0000,Japan-Mt. Minoh-P0,34.853,135.469,Pinaceae,Pinus densiflora,EG,7.22,0.002324276,9,6,13.66,10.95,1.587,19.022,22.416,1.807,FW
Nishioka0000,Japan-Mt. Minoh-P0,34.853,135.469,Pinaceae,Pinus densiflora,EG,13.65,0.005714628,9.7,5.2,17.28,13.37,2.981,27.047,34.163,4.135,FW
Nishioka0000,Japan-Mt. Minoh-P0,34.853,135.469,Pinaceae,Pinus densiflora,EG,13.18,0.007163028,8.7,3.7,16.84,12.06,2.973,23.086,31.809,5.75,FW
Nishioka0000,Japan-Mt. Minoh-P0,34.853,135.469,Pinaceae,Pinus densiflora,EG,13.76,0.006880842,9.3,5.1,14.32,11.97,3.004,22.796,29.5,3.7,FW
Nishioka0000,Japan-Mt. Minoh-P0,34.853,135.469,Pinaceae,Pinus densiflora,EG,21.15,0.007496853,10.3,4.5,17,14.26,4.694,32.52,45.521,8.307,FW
Nishioka0000,Japan-Mt. Minoh-P0,34.853,135.469,Pinaceae,Pinus densiflora,EG,39.68,0.014229184,9.8,5.46,25.53,21.26,8.736,75.07,101.178,17.372,FW
Nishioka0000,Japan-Mt. Minoh-P0,34.853,135.469,Pinaceae,Pinus densiflora,EG,2.31,0.001839842,8.8,5.6,9.55,8.66,0.508,10.795,11.99,0.687,FW
Nishioka0000,Japan-Mt. Minoh-P0,34.853,135.469,Pinaceae,Pinus densiflora,EG,4.75,0.005462884,9.2,4.6,14.39,11.36,1.042,22.081,24.434,1.311,FW
Nishioka0000,Japan-Mt. Minoh-P0,34.853,135.469,Pinaceae,Pinus densiflora,EG,2.63,0.003815535,7.3,4.4,18.14,12.22,0.582,19.588,22.445,2.275,FW
