Unit,-,-,-,yr,m2,m2,m2,m,m,kg,kg,kg,kg,kg/m2,EA = evergreen angiosperm;,FW = field wild;,"0 = supressed,",-,-,degree,degree,TropRF = Tropical rainforest;,m2/m2,mm,C,-
Description,First author and year of publication,Family,Latin name of species (genus species),"Age of plant expressed as decimal, e.g. 3 months = 0.25 years",Total leaf area,Individual leaf size (average area of individual leaves across entire plant),Area of total stem cross section at breast height ,"Total height of plant, from ground to highest leaf","Height of crown, from first branch bearing a live leaf to highest leaf, (Crown depth)",Total leaf mass,"Stem mass, mass of all stem tissue (= m.ss + m.sh + m.sb)",Bark mass,Branch mass,Leaf mass per area (average across entire plant or sample taken from top of plant; = m.lf/a.lf),Plant functional type,Growing environment of sampled plant,Position in forest canopy (wild grown plants only),"Note any information about light environment of sampled plant, we will determine appropriate categories once we see what information is available",Name of location where sampled,Latitude of location where sampled (-90 to 90 deg South to North),Longitude of location where sampled (-180 to 180 West to East),"Vegetation type where sampled, or where typically found for artifical plantings (plantations, glasshouse, common garden etc)",Leaf area of index of vegetation,Mean annual rainfall (wild grown plants only),Mean annual temperature,Full bibliographic reference of source publication
Alternative related variables,Name and year of collection for unpublished data,,,,Calculated using Total leaf mass and Leaf mass per area,,,,"Height to crown base, being the height of first branch bearing a live leaf",,,,,,,,,,,,,,,,,
Method,,,,"Age of plant expressed as decimal, e.g. 3 months = 0.25 years",Calculated using Total leaf mass and measured Leaf mass per area,,from circumference,"Total height of plant, from ground to highest leaf","Height to crown base, being the height of first  live leaf",Total leaf mass (dry mass),,,Branch mass,Leaf dry mass per area (average across entire plant),,,"Numbered from smaller to larger, corresponding to size class of the inventory","Numbered from smaller to larger, corresponding to size class of the inventory",Stand name,,,,LAI estimated from allometric relationships calibrated on the destructive data of this excel file (one relationship per date and per stand),estimated from a single meteorological station,estimated from a single meteorological station," Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Variable,contributor,family,species,age,a.lf,lf.sz,a.st,h.t,h.c,m.lf,m.st,m.sb,m.br,lf.ma,pft,growingCondition,status,light,location,latitude,longitude,vegetation,lai,map,mat,reference
Nouvellon et al. (2010),11-Oct-04,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.41,4.88,0.003283,0.002437,9.6,9.24,0.338,,,,0.069,EA,PM,0,0,Kissoko (Congo),-4.7914,11.9822,TropSF,1.8392,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),11-Oct-04,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.41,10.928,0.00429,0.003922,11.34,4.08,1.017,,,,0.093,EA,PM,1,1,Kissoko (Congo),-4.7914,11.9822,TropSF,1.8392,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),11-Oct-04,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.41,14.233,0.004734,0.005013,12.23,4.73,1.251,,,,0.088,EA,PM,2,2,Kissoko (Congo),-4.7914,11.9822,TropSF,1.8392,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),11-Oct-04,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.41,14.89,0.00398,0.0066,14.56,4.63,1.302,,,,0.087,EA,PM,3,3,Kissoko (Congo),-4.7914,11.9822,TropSF,1.8392,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),11-Oct-04,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.41,18.773,0.00402,0.007746,14.43,6.33,1.788,,,,0.095,EA,PM,4,4,Kissoko (Congo),-4.7914,11.9822,TropSF,1.8392,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
Nouvellon et al. (2010),11-Oct-04,Myrtaceae,Eucalyptus urophylla * Eucalyptus grandis (clone),2.41,26.887,0.004083,0.009637,15.05,5.75,2.627,,,,0.098,EA,PM,5,5,Kissoko (Congo),-4.7914,11.9822,TropSF,1.8392,1200,25,"Nouvellon, Y., Laclau, J-P., Epron, D., Kinana, A., Mabiala, A., Roupsard, O., Bonnefond, J-M., Le Maire, G., Marsden, C., Saint-Andr_, L., 2010. Within-stand and seasonal variations of specific leaf area in a clonal Eucalyptus plantation in the Republic of Congo. Forest Ecology and Management, 259: 1796_1807. "
