"var_in","method","unit_in","var_out","notes"
"age","?","yr","age",NA
"a.lf","e1","m2","a.lf",NA
"lf.sz","x1","m2","a.ilf",NA
"a.st","?","m2","a.stbh",NA
"h.t","?","m","h.t",NA
"h.c","?","m","h.c",NA
"m.lf","m3,x1","kg","m.lf",NA
"m.st","m3","kg","m.st",NA
"m.sb","m3","kg","m.sb",NA
"m.br","m3","kg","m.br",NA
"lf.ma","m3,x1","kg.m2","ma.ilf",NA
"lai","?","m2.m2","lai",NA
"Variable",NA,NA,NA,NA
"contributor",NA,NA,NA,NA
"family",NA,NA,"family",NA
"species",NA,NA,"species",NA
"pft",NA,NA,"pft",NA
"growingCondition",NA,NA,"growingCondition",NA
"status",NA,NA,"status",NA
"light","?",NA,"light",NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"reference",NA,NA,NA,NA
