"","","lookupVariable","lookupValue","newVariable","newValue","source"
"1",1,"species","E.tet.","species","Eucalyptus tetrodonta","from paper[D Barneche]"
"2",2,"species","E.min.","species","Eucalyptus miniata","from paper[D Barneche]"
"3",3,"species","T.ferd.","species","Terminalia ferdinandiana","from paper[D Barneche]"
"4",4,"species","E.min","species","Eucalyptus miniata","from paper[D Barneche]"
"5",5,"species","E.chlor.","species","Erythrophloem chlorostachys","from paper[D Barneche]"
"6",6,"species","E.clav.","species","Eucalyptus clavigera","from paper[D Barneche]"
"7",7,"","","latitude","-12.5","from paper[D Barneche]"
"8",8,"","","longitude","130.75","from paper[D Barneche]"
"9",9,"","","growingCondition","FW","from paper[D Barneche]"
"10",10,"","","pft","EA","from paper[D Barneche]"
"11",11,"","","vegetation","Sav","from paper[D Barneche]"
"12",12,"","","location","Howard Springs, NT, Australia","from paper[D Barneche]"
"13",13,"","","map","1700","from paper[D Barneche]"
