,,,,,(cm),(cm),(m2),DBH 1.3 m),(m2),(cm2),(m2), (g),(g),(g), (g),(g),(g),(g),(g),(g)
Harvested,plot,treatment,seedling,height (cm),Diameter (base),underbark D,S/wood area (BD),Diameter (cm),S/wood area (1.3),Leaf area ,,stem,branch ,branch dead,leaf,Total,5-Oct,Oct-15,15 - 20,20  + stump
Dec_02,1,,3,35.1,0.458,,,,,44.54785654,0.004454786,0.99,,,2.994,3.984,,,,
Dec_02,1,,16,3.4,0.524,,,,,66.02421429,0.006602421,1.592,,,5.343,6.935,,,,
Dec_02,2,,10,34.6,0.509,,,,,61.58810638,0.006158811,1.301,,,4.153,5.454,,,,
Dec_02,2,,17,30.4,0.354,,,,,29.36181818,0.002936182,0.695,,,2.22,2.915,,,,
Dec_02,3,,17,41.7,0.623,,,,,91.82562232,0.009182562,2.322,0.777,,8.565,11.664,,,,
Dec_02,3,,12,34,0.441,,,,,46.16808594,0.004616809,1.066,,,3.545,4.611,,,,
Dec_02,4,,22,45.8,0.534,,,,,63.0468743,0.006304687,1.759,,,4.644,6.403,,,,
Dec_02,4,,7,36.6,0.396,,,,,37.50134588,0.003750135,1.16,,,3.949,5.109,,,,
Dec_02,5,,8,39.6,0.487,,,,,68.41396443,0.006841396,1.776,,,5.294,7.07,,,,
Dec_02,5,,19,32.9,0.379,,,,,26.60931161,0.002660931,0.715,,,2.343,3.058,,,,
Dec_02,6,,3,26.6,0.319,,,,,21.18762736,0.002118763,0.369,,,1.578,1.947,,,,
Dec_02,6,,8,26.4,0.34,,,,,28.76084821,0.002876085,0.555,,,1.91,2.465,,,,
Dec_02,7,,8,35.7,0.452,,,,,64.75884786,0.006475885,1.108,,,5.105,6.213,,,,
Dec_02,7,,18,28.3,0.354,,,,,33.93026799,0.003393027,0.614,,,2.309,2.923,,,,
Dec_02,8,,18,39.6,0.635,,,,,98.02500962,0.009802501,2.441,1.204,,7.715,11.36,,,,
Dec_02,8,,4,32.5,0.307,,,,,18.71548718,0.001871549,0.527,,,1.368,1.895,,,,
Dec_02,9,,5,35.5,0.446,,,,,40.23100315,0.0040231,1.113,,,3.573,4.686,,,,
Dec_02,9,,12,31.5,0.372,,,,,28.99347328,0.002899347,0.722,,,2.13,2.852,,,,
Mar_03,1,,9,,1.755,,,,,767.5587025,0.07675587,37.2547728,55.99085287,,141.0517987,93.24562567,,,,
