"","var_in","method","unit_in","var_out","notes","var_in_unchecked_names"
"1","height..cm.","","cm","h.t",NA,"height (cm)"
"2","Diameter..base.","","cm","d.ba",NA,"Diameter (base)"
"3","S.wood.area..BD.","","m2","a.ssba",NA,"S/wood area (BD)"
"4","Diameter..cm.","","cm","d.bh",NA,"Diameter (cm)"
"5","S.wood.area..1.3.","","m2","a.ssbh",NA,"S/wood area (1.3)"
"6","Leaf.area","b","m2","a.lf",NA,"Leaf area"
"7","stem","m1","g","m.st",NA,"stem"
"8","branch","m1","g","m.br",NA,"branch"
"9","leaf","m1","g","m.lf",NA,"leaf"
"10","Total","m1","g","m.so",NA,"Total"
"11","m.rf","m1","g","m.rf",NA,"m.rf"
"12","m.rc","m1","g","m.rc",NA,"m.rc"
"13","Harvested",NA,NA,NA,NA,"Harvested"
"14","plot",NA,NA,NA,NA,"plot"
"15","treatment",NA,NA,NA,NA,"treatment"
"16","seedling",NA,NA,NA,NA,"seedling"
"17","underbark.D",NA,NA,NA,NA,"underbark D"
"18","X",NA,NA,NA,NA,""
"19","branch.dead",NA,NA,NA,NA,"branch dead"
"20","X5.Oct",NA,NA,NA,NA,"5-Oct"
"21","Oct.15",NA,NA,NA,NA,"Oct-15"
"22","X15...20",NA,NA,NA,NA,"15 - 20"
"23","X20....stump",NA,NA,NA,NA,"20  + stump"
