h.t,a.st,h.c,status,a.ss1,a.lf,a.ss2,species,pft,site
1.75,4.42E-05,1.13,0,8.80E-05,1.9062,,Pinus ponderosa,EG,Oregon
1.66,3.32E-05,0.81,2,0.000129591,1.9169,,Pinus ponderosa,EG,Oregon
1.8,3.85E-05,1.4,2,0.000193993,1.3979,,Pinus ponderosa,EG,Oregon
2.16,5.03E-05,1.54,1,0.000226194,1.2654,,Pinus ponderosa,EG,Oregon
1.81,3.85E-05,1.37,2,0.000230907,2.1378,,Pinus ponderosa,EG,Oregon
2.8,6.36E-05,1.8,0,0.000280387,0.9262,,Pinus ponderosa,EG,Oregon
2.85,0.000132732,1.91,0,0.000487732,2.0887,,Pinus ponderosa,EG,Oregon
2.21,0.000132732,1.58,2,0.000487732,3.9783,,Pinus ponderosa,EG,Oregon
2.37,0.000113097,1.54,0,0.00055292,3.194,,Pinus ponderosa,EG,Oregon
2.21,9.50E-05,1.89,2,0.000559988,2.1369,,Pinus ponderosa,EG,Oregon
3.55,0.000132732,2.18,1,0.000614181,1.3249,,Pinus ponderosa,EG,Oregon
2.51,0.00016513,1.81,2,0.000703716,8.1928,,Pinus ponderosa,EG,Oregon
2.9,0.000176714,1.22,1,0.000857654,2.176,,Pinus ponderosa,EG,Oregon
3.47,0.000254469,2.16,1,0.00101709,6.028,,Pinus ponderosa,EG,Oregon
2.36,0.000240528,1.6,2,0.00109563,4.5246,,Pinus ponderosa,EG,Oregon
4.49,0.000855298,3.06,2,0.00111605,15.0858,,Pinus ponderosa,EG,Oregon
3.96,0.000314159,2.39,1,0.001335176,2.2643,,Pinus ponderosa,EG,Oregon
2.7,0.00034636,2.2,1,0.001513461,13.4672,,Pinus ponderosa,EG,Oregon
3.09,0.000490873,1.89,2,0.001814268,11.2546,,Pinus ponderosa,EG,Oregon
3.7,0.000490873,2.9,1,0.002261945,8.041,,Pinus ponderosa,EG,Oregon
4.29,0.000754767,1.69,1,0.002268228,3.8138,,Pinus ponderosa,EG,Oregon
3.34,0.000490873,2.26,2,0.002309069,10.9808,,Pinus ponderosa,EG,Oregon
3.59,0.000490873,2.59,1,0.002532122,8.9816,,Pinus ponderosa,EG,Oregon
3.46,0.000754767,2.38,2,0.002536834,12.989,,Pinus ponderosa,EG,Oregon
3.89,0.000314159,2.62,1,0.002764599,5.6342,,Pinus ponderosa,EG,Oregon
5.35,0.000615752,3.59,2,0.002807796,11.9903,,Pinus ponderosa,EG,Oregon
14.13,0.000660519,12.07,1,0.002990794,5.8701,,Pinus ponderosa,EG,Oregon
4.97,0.000706858,3.99,2,0.003138448,17.207,,Pinus ponderosa,EG,Oregon
3.58,0.000615752,1.92,2,0.00362618,8.4783,,Pinus ponderosa,EG,Oregon
4.1,0.000754767,3.09,1,0.003650528,21.0187,,Pinus ponderosa,EG,Oregon
5.4,0.001017875,3.15,1,0.004139045,11.1881,,Pinus ponderosa,EG,Oregon
8.78,0.00159043,4.6,1,0.004618137,15.6679,,Pinus ponderosa,EG,Oregon
4.1,0.00119459,3.08,2,0.004700604,16.874,,Pinus ponderosa,EG,Oregon
5.7,0.000615752,3.7,1,0.005114509,10.434,,Pinus ponderosa,EG,Oregon
11.68,0.001809556,5.21,1,0.006283965,11.8606,,Pinus ponderosa,EG,Oregon
6.65,0.001734943,4.78,1,0.006889507,24.1791,,Pinus ponderosa,EG,Oregon
7.13,0.002206182,5.09,1,0.007728311,18.6691,,Pinus ponderosa,EG,Oregon
8.02,0.001661901,4.73,1,0.007948223,23.3202,,Pinus ponderosa,EG,Oregon
9.64,0.002463007,5.61,1,0.009186009,24.6626,,Pinus ponderosa,EG,Oregon
9.5,0.003117243,6.93,2,0.00958185,40.3689,,Pinus ponderosa,EG,Oregon
6.56,0.002206182,4.96,1,0.010681406,20.2939,,Pinus ponderosa,EG,Oregon
8.11,0.002463007,5.25,1,0.010807855,24.5773,,Pinus ponderosa,EG,Oregon
6.82,0.001734943,4.41,2,0.011722058,21.2122,,Pinus ponderosa,EG,Oregon
7.05,0.002551756,5.22,2,0.012521592,37.2952,,Pinus ponderosa,EG,Oregon
11.73,0.003019068,8.26,2,0.013425585,33.4943,,Pinus ponderosa,EG,Oregon
10.8,0.004185383,5.46,2,0.015473116,42.1508,,Pinus ponderosa,EG,Oregon
13.48,0.004536456,10.1,2,0.016273436,56.4633,,Pinus ponderosa,EG,Oregon
10.49,0.004071501,8.15,1,0.018252638,68.8407,,Pinus ponderosa,EG,Oregon
12.9,0.004417861,8.54,1,0.019399318,54.3702,,Pinus ponderosa,EG,Oregon
14.46,0.005687857,11.28,1,0.020160368,84.3967,,Pinus ponderosa,EG,Oregon
12.91,0.005944674,9.33,2,0.020527149,55.2121,,Pinus ponderosa,EG,Oregon
11.66,0.006792903,8.18,2,0.027744167,62.4159,,Pinus ponderosa,EG,Oregon
11.57,0.006221134,8.44,2,0.027796788,104.4655,,Pinus ponderosa,EG,Oregon
12.89,0.006082118,7.74,2,0.029591233,48.3518,,Pinus ponderosa,EG,Oregon
18.5,0.010386882,12.85,2,0.029826255,177.2331,,Pinus ponderosa,EG,Oregon
