"var_in","method","unit_in","var_out","notes"
"SITE",NA,NA,NA,NA
"SPECIES",NA,NA,"species",NA
"FAMILY",NA,NA,NA,NA
"PFT",NA,NA,NA,NA
"DBH","d3","cm","d.bh",NA
"dbh>10",NA,NA,NA,NA
"HT CLASS",NA,NA,NA,NA
"MOD A",NA,NA,NA,NA
"MOD B",NA,NA,NA,NA
"AVG",NA,NA,NA,NA
"Leaf weight","mx","kg","m.lf",NA
"X",NA,NA,NA,NA
"Wood Weight","mx","kg","m.st",NA
"TOT","mx","kg","m.so",NA
"bo, dbh>10",NA,NA,NA,NA
"logbio",NA,NA,NA,NA
"Leaf area","l1","m2","a.lf",NA
"modla",NA,NA,NA,NA
"log dbh",NA,NA,NA,NA
"log bio",NA,NA,NA,NA
"grouping",NA,NA,"grouping",NA
