"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Acer rufinerve","Aceraceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4,NA,NA,0.29,NA,NA,NA,NA,NA,NA,321.55,NA,64.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Betula platyphylla","Betulaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,NA,NA,0.255,NA,NA,NA,NA,NA,NA,159.42,NA,32.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Quercus crispula","Fagaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,NA,NA,0.183,NA,NA,NA,NA,NA,NA,61.83,NA,19.05,NA,NA,30.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Acer distylum","Aceraceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,NA,NA,0.17,NA,NA,NA,NA,NA,NA,99.59,NA,15.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Magnolia obovata","Magnoliaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,NA,NA,0.16,NA,NA,NA,NA,NA,NA,63.46,NA,3.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Betula platyphylla","Betulaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,0.122,NA,NA,NA,NA,NA,NA,17.83,NA,9.67,NA,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Prunus sargentii","Rosaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,NA,NA,0.122,NA,NA,NA,NA,NA,NA,36.98,NA,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Carpinus japonica","Betulaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8,NA,NA,0.109,NA,NA,NA,NA,NA,NA,25.73,NA,2.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Betula ermanii","Betulaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,0.108,NA,NA,NA,NA,NA,NA,39.55,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Quercus crispula","Fagaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,0.105,NA,NA,NA,NA,NA,NA,17.3,NA,5.37,NA,NA,10.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Betula platyphylla","Betulaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0.098,NA,NA,NA,NA,NA,NA,16.16,NA,3.9,NA,NA,6.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Quercus crispula","Fagaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,NA,NA,0.082,NA,NA,NA,NA,NA,NA,9.57,NA,1.12,NA,NA,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Quercus crispula","Fagaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,NA,NA,0.065,NA,NA,NA,NA,NA,NA,11.82,NA,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Acanthopanax sciadophylloides","Araliaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,NA,NA,0.064,NA,NA,NA,NA,NA,NA,7.47,NA,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Quercus crispula","Fagaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,0.064,NA,NA,NA,NA,NA,NA,12.75,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Betula platyphylla","Betulaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,0.062,NA,NA,NA,NA,NA,NA,4.84,NA,1.94,NA,NA,4.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Betula platyphylla","Betulaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,NA,NA,0.062,NA,NA,NA,NA,NA,NA,5.69,NA,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Acanthopanax sciadophylloides","Araliaceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,NA,NA,0.059,NA,NA,NA,NA,NA,NA,6.74,NA,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
"Ishihara0000","Japan-Takayama Flux site, Gifu University-",36.15,137.42,"TempF",NA,NA,NA,NA,"Acer sieboldianum","Aceraceae","DA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,0.056,NA,NA,NA,NA,NA,NA,5.18,NA,0.9,NA,NA,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Ohtsuka, T; Akiyama, T; Hashimoto, Y; Inatomi, M; Sakai, T; Jia, S; Mo, W; Tsuda, S; Koizumi, H. (2005) Biometric based estimates of net primary production (NPP) in a cool-temperate deciduous forest stand beneath a flux tower. Agricultural and Forest Meteorology 134: 27-38.","Ohtsuka2005"
