,,,cm,m,m,m2,g,g,g,m2,cm2,cm,cm2/g,g/m2,m2/m2,,,,mm,,,,,,,,
Source,species,Tree.No.,DBH,Height,Crown.depth,Crown.Projection.Area,Stem.mass,Total.leaf.mass,Individual.leaf.mass,Total.leaf.area,Individual.leaf.area,Stem.diameter.at.10.percent.Height,SLA,LMA,LAI,light.ISF,light.DSF,light.GSF,D0,pft,growingCondition,location,latitude,longitude,vegetation,map,mat
Osada et al. (2003) Forest Ecology and Management,Elateriospermum tapos Blume,YW14,46.56873635,40.71722104,19.27173309,56.46227397,,30507.70603,0.396666667,335.2592152,43.22311782,,109.8932889,,5.937756163,,,,,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada et al. (2003) Forest Ecology and Management,Elateriospermum tapos Blume,YW987,47.74648293,35.89586726,15.67399115,108.4320704,,22975.71688,0.352537313,232.8333979,35.17949888,,101.3389045,,2.147274297,,,,,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada et al. (2003) Forest Ecology and Management,Elateriospermum tapos Blume,WR227,29.53915744,30.77741168,14.714811,65.73782628,,18604.67567,0.317536232,217.0628764,36.25548858,,116.6711424,,3.301947885,,,,,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada et al. (2003) Forest Ecology and Management,Elateriospermum tapos Blume,YG71,15.75633937,22.465697,7.810328406,31.88716543,,2706.287776,0.4284,37.82400911,59.31996244,,139.7634407,,1.18618286,,,,,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada et al. (2003) Forest Ecology and Management,Elateriospermum tapos Blume,YW279,24.73267816,21.29659,8.699701946,27.05696673,,11878.60604,0.512909091,134.6535075,57.89143133,,113.3580043,,4.976666779,,,,,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,1,1.274990196,1.28,,,,22.30558879,0.586989179,0.4386945,115.4459211,,196.6747007,,,0.047389598,0.03995708,0.040717965,1.741206478,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,32,0.689927532,1,,,,6.51936332,0.651936332,0.1359175,135.9175,,208.4827817,,,0.052525246,0.075162384,0.072844965,0.949947367,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,34,0.549909083,0.83,,,,4.904274786,0.490427479,0.1054966,105.4966,,215.1115192,,,0.050177531,0.061684205,0.060506239,0.719722169,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,37,0.869942527,1.66,,,,11.78650851,0.841893465,0.2255652,161.118,,191.3757579,,,0.049517515,0.063277798,0.061869124,1.06,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,39,0.5,0.71,,,,1.625152709,0.325030542,0.0396501,79.3002,,243.9776876,,,0.050333692,0.059660622,0.058705801,0.704840407,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,40,0.504777179,0.94,,,,2.910655084,0.415807869,0.0688747,98.39242857,,236.6295491,,,0.046613988,0.061243954,0.059746248,0.599916661,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,43,0.579223618,0.61,,,,3.07882692,0.384853365,0.0630972,78.8715,,204.9390942,,,0.052351934,0.070414303,0.068565214,0.664529909,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,45,0.6596969,1.04,,,,4.642324709,0.290145294,0.106567,66.604375,,229.555248,,,0.042342711,0.067020497,0.064494171,0.909120454,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,54,0.78,1.36,,,,10.91589985,0.419842302,0.2458512,94.55815385,,225.2230265,,,0.053255512,0.081629062,0.078724392,1.019803903,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,55,0.51,0.89,,,,2.023864171,0.252983021,0.0490921,61.365125,,242.5661796,,,0.045301131,0.057361099,0.05612649,0.634507683,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,800,0.829939757,1.09,,,,16.86192283,0.344120874,0.3537322,72.1902449,,209.7816504,,,,,,1.054988152,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,914,0.794984277,0.81,,,,6.86166634,0.623787849,0.131294,119.3581818,,191.3441918,,,0.093248366,0.173086527,0.164913298,0.799937498,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,917,0.659924238,1.09,,,,7.091115208,0.37321659,0.1217683,64.08857895,,171.7195341,,,0.047877816,0.080578107,0.077230497,0.814861951,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,920,0.539907399,0.86,,,,3.298176813,0.329817681,0.0611892,61.1892,,185.5243168,,,0.061181379,0.119417977,0.113456153,0.744848978,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,921,0.88,1.605,,,,12.68030119,0.487703892,0.2146944,82.57476923,,169.3133285,,,,,,1.54266004,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,922,0.55,0.64,,,,2.056374477,0.228486053,0.0403011,44.779,,195.9813276,,,0.050983465,0.089719606,0.085754092,0.699714227,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (unpublished data; data were collected in 1999),Elateriospermum tapos Blume,923,0.689927532,0.76,,,,1.449642574,0.289928515,0.0275084,55.0168,,189.7598794,,,0.054160297,0.111384993,0.10552676,0.85498538,EA,FW,"Pasoh Forest Reserve, Malaysia",2.59,102.18,Tropical rainforest,1850.2,26.9
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,1,,54,2,0.057176986,2.295388981,0.554752692,0.092458782,211.5993192,35.26655321,0.349857114,381.4299998,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,2,,65,7,0.043196899,2.740571134,1.020994665,0.127624333,269.9305694,33.74132118,0.349857114,264.3799999,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,3,,58,3,0.038013271,2.526763461,0.28283809,0.070709522,127.8428166,31.96070414,0.354964787,451.9999997,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,4,,60,4,0.090792028,2.825482049,1.046010817,0.174335136,425.9565247,70.99275412,0.37,407.2199998,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,5,,72,4,0.098017691,3.363548868,0.911922311,0.151987052,376.0311649,62.67186081,0.37,412.35,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,6,,50,3,0.061496676,2.497665182,0.44432356,0.088864712,211.5646631,42.31293261,0.38,476.15,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,7,,50,3,0.054977871,2.624857722,0.517617687,0.073945384,232.9279593,33.27542276,0.39,450.0000003,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,8,,68,2,0.044532076,3.608236581,0.440046772,0.073341129,155.0328782,25.83881303,0.394968353,352.3099999,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,9,,64,5,0.080424772,3.488466797,0.558615896,0.093102649,235.6044692,39.26741153,0.4,421.7647061,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,10,,69,6,0.093462381,3.748603758,1.215602256,0.173657465,488.3549933,69.76499904,0.4,401.7391305,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,11,,67,6,0.093462381,3.731720662,1.192494943,0.17035642,435.4991533,62.21416475,0.404969135,365.2000001,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,12,,60,10,0.052386057,,,,,,0.404969135,,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,13,,62,2,0.082780966,3.465011678,0.624935762,0.10415596,394.6022957,65.76704929,0.404969135,631.4285719,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
Osada (2005) Canadian Journal of Botany,Rhus trichocarpa Miq.,14,,80,8,0.090477868,4.524278658,0.954222148,0.092868703,375.0827058,36.50454388,0.409878031,393.076923,,,,,,,DA,FW,"Kamigamo Experimental Forest, Kyoto University",35.04,135.46,TempF,1574,15
