"","var_in","method","unit_in","var_out","notes","var_in_unchecked_names"
"1","DBH","","cm","d.bh",NA,"DBH"
"2","Height","","m","h.t",NA,"Height"
"3","Crown.depth","","m","c.d",NA,"Crown.depth"
"4","Crown.Projection.Area","","m2","a.cp",NA,"Crown.Projection.Area"
"5","Stem.mass","","g","m.st",NA,"Stem.mass"
"6","Total.leaf.mass","","g","m.lf",NA,"Total.leaf.mass"
"7","Total.leaf.area","","m2","a.lf",NA,"Total.leaf.area"
"8","Individual.leaf.area","","cm2","lf.sz",NA,"Individual.leaf.area"
"9","SLA","","cm2.g","lf.ma",NA,"SLA"
"10","LMA","","g.m2","lf.ma",NA,"LMA"
"11","LAI","","m2.m2","lai",NA,"LAI"
"12","D0","","mm","d.ba",NA,"D0"
"13","light.ISF","li4","-","light",NA,"light.ISF"
"14","light.DSF","li4","-","light",NA,"light.DSF"
"15","light.GSF","li4","-","light",NA,"light.GSF"
"16","Source",NA,NA,NA,NA,"Source"
"17","species",NA,NA,NA,NA,"species"
"18","Tree.No.",NA,NA,NA,NA,"Tree.No."
"19","Individual.leaf.mass",NA,NA,NA,NA,"Individual.leaf.mass"
"20","Stem.diameter.at.10.percent.Height",NA,NA,NA,NA,"Stem.diameter.at.10.percent.Height"
"21","pft",NA,NA,NA,NA,"pft"
"22","growingCondition",NA,NA,NA,NA,"growingCondition"
"23","location",NA,NA,NA,NA,"location"
"24","latitude",NA,NA,NA,NA,"latitude"
"25","longitude",NA,NA,NA,NA,"longitude"
"26","vegetation",NA,NA,NA,NA,"vegetation"
"27","map",NA,NA,NA,NA,"map"
"28","mat",NA,NA,NA,NA,"mat"
