Tree_no,Family,Genera,species,growth_form,dbh_95,Dbh_2004,tree_ht,Fork_ht,crown_depth,cr_width,crown_sil_area,rel_cr_width
14,Myristicaceae,Horsfieldia,Horsfiel_polysph,canopy,6.7,7.4,9.04,6.8775,2.1625,5.245,8.911816964,0.580199115
134,Myristicaceae,Horsfieldia,Horsfiel_polysph,canopy,6.2,7,10.4,6.08,4.32,2.755,9.351257143,0.264903846
254,Myristicaceae,Horsfieldia,Horsfiel_polysph,canopy,5.6,5.8,10.7,9.17,1.53,2.3,2.764928571,0.214953271
434,Myristicaceae,Horsfieldia,Horsfiel_polysph,canopy,9.1,9.8,12.65,6.7375,5.9125,5.745,26.68860268,0.454150198
1013,Myristicaceae,Horsfieldia,Horsfiel_polysph,canopy,6.3,6.5,13.1,10.2949,2.8051,2.65,5.840618929,0.202290076
99,Myristicaceae,Horsfieldia,Horsfiel_polysph,canopy,9.2,11.5,13.65,10.71,2.94,3.855,8.90505,0.282417582
411,Myristicaceae,Horsfieldia,Horsfiel_polysph,canopy,13.8,15.7,14.51,11.21,3.3,4.905,12.71796429,0.338042729
777,Myristicaceae,Horsfieldia,Horsfiel_polysph,canopy,7.8,12.6,15.22,6.6616,8.5584,4.99,33.55504114,0.327858081
101,Myristicaceae,Horsfieldia,Horsfiel_polysph,canopy,10.7,13.5,17.91,13.0702,4.8398,5.775,21.9605925,0.322445561
449,Myristicaceae,Horsfieldia,Horsfiel_polysph,canopy,10.8,13.6,18.7,12.732,5.968,5.375,25.20414286,0.287433155
305,Myristicaceae,Horsfieldia,Horsfiel_polysph,canopy,18.4,19.2,20.63,11.448,9.182,5.645,40.72544929,0.273630635
111,Myristicaceae,Horsfieldia,Horsfiel_polysph,canopy,17.1,21.9,25.12,18.486,6.634,6.425,33.48985357,0.255772293
711,Myristicaceae,Horsfieldia,Horsfiel_polysph,canopy,26.6,31.5,27.93,13.2762,14.6538,5.945,68.4489465,0.212853562
979,Myristicaceae,Horsfieldia,Horsfiel_polysph,canopy,23.1,30.6,34.02,23.571,10.449,5.25,43.102125,0.154320988
786,Myristicaceae,Knema,Knema_ashiton,canopy,7,9.2,7.54,4.07,3.47,4.705,12.82784643,0.624005305
785,Myristicaceae,Knema,Knema_ashiton,canopy,6.9,7.7,8.58,3.27,5.31,4.55,18.98325,0.53030303
141,Myristicaceae,Knema,Knema_ashiton,canopy,5.6,6.8,8.79,3.201,5.589,5.75,25.25030357,0.654152446
767,Myristicaceae,Knema,Knema_ashiton,canopy,6.6,7.5,8.9,6.7,2.2,4.42,7.640285714,0.496629213
