"","var_in","method","unit_in","var_out","notes","var_in_unchecked_names"
"1","Dbh_2004","","cm","d.bh",NA,"Dbh_2004"
"2","tree_ht","","m","h.t",NA,"tree_ht"
"3","Fork_ht","","m","h.c",NA,"Fork_ht"
"4","crown_depth","","m","c.d",NA,"crown_depth"
"5","cr_width","","m","d.cr",NA,"cr_width"
"6","crown_sil_area","a","m2","a.cp",NA,"crown_sil_area"
"7","Tree_no",NA,NA,NA,NA,"Tree_no"
"8","Family",NA,NA,NA,NA,"Family"
"9","Genera",NA,NA,NA,NA,"Genera"
"10","species",NA,NA,NA,NA,"species"
"11","growth_form",NA,NA,NA,NA,"growth_form"
"12","dbh_95",NA,NA,NA,NA,"dbh_95"
"13","rel_cr_width",NA,NA,NA,NA,"rel_cr_width"
