Tree,Height m ,Crown base m,age yrs,D13 cm,D Crown base cm,Crown width m,foliage mass kg ,woody mass kg,branch mass kg
1,8.25,1.6,12,7.2,6.9,2.8,1.491,8.609,2.14
2,3.35,0.52,8,2.4,3.1,1.31,0.216,0.554,0.197
3,5.53,0.77,10,4.1,5.2,1.65,0.703,2.617,0.865
4,3.27,0.4,6,1.8,2.7,1.25,0.135,0.325,0.139
5,27.82,9.7,74,36.6,30.3,5.45,14.654,651.576,101.161
6,22.85,9.4,52,24.9,17.9,4.7,3.585,204.855,23.841
7,17.44,6.39,34,17.4,14,4.45,4.076,90.134,10.451
8,9.23,1.65,11,9.6,8.9,3.35,2.346,19.984,4.046
9,11.6,4.6,14,10.9,7.7,2.78,1.417,23.223,4.085
10,7.8,1.65,12,7.5,6.6,2.89,0.94,7,2.018
11,3.03,0.42,8,1.6,2.5,1,0.133,0.317,0.101
12,1.8,0.42,3,0.5,M,0.83,0.04,0.06,0.019
