"var_in","method","unit_in","var_out","notes"
"ref",NA,NA,NA,NA
"Species",NA,NA,"species",NA
"Family",NA,NA,"family",NA
"a.lf","a1","m2","a.lf",NA
"lf.sz",NA,"m2","a.ilf",NA
"a.cp","f","m2","a.cp",NA
"h.t","x1","m","h.t",NA
"m.lf","m3","kg","m.lf",NA
"m.st","m3","kg","m.st",NA
"m.br","m3","kg","m.br",NA
"m.rf","m3","kg","m.rf",NA
"m.rc","m3","kg","m.rc",NA
"m.rt","m3","kg","m.rt",NA
"n.lf","x1","kg/kg","n.lf",NA
"n.ss","x1","kg/kg","n.ss",NA
"n.rf","x1","kg/kg","n.rf",NA
"n.rc","x1","kg/kg","n.rc",NA
"lai","x1","m2/m2","lai",NA
"pft",NA,NA,"pft",NA
"growingCondition",NA,NA,"growingCondition",NA
"status",NA,NA,"status",NA
"vegetation",NA,NA,"vegetation",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
