"var_in","method","unit_in","var_out","notes"
"Total.leaf.area..cm2.","c,t","cm2","a.lf",NA
"Mean.leaf.area..cm2.","b,1","cm2","a.ilf",NA
"Area.of.total.stem.cross.section..basal.area..mm2.",NA,"mm2","a.stba",NA
"Crown.projected.area..cm2.","a","cm2","a.cp",NA
"Height.to.crown.base..cm.",NA,"cm","h.c",NA
"Crown.lenght..cm.",NA,"cm","c.d",NA
"Total.height.of.plant..cm.",NA,"cm","h.t",NA
"Specific.leaf.area..cm2.g-1.",NA,"cm2.g","ma.ilf",NA
"ISF..percent...Indirect.Site.Factor..in.percent.of.above.canopy.light","li","-","light",NA
"LAI..cm2.cm-2.",NA,"m2.m2","lai",NA
"Species",NA,NA,"species",NA
