"var_in","method","unit_in","var_out","notes"
"SPEC",NA,NA,NA,NA
"species",NA,"-","species",NA
"family",NA,"-","family",NA
"pft",NA,"-","pft",NA
"growth period",NA,NA,NA,NA
"age","?","yr","age",NA
"growingCondition",NA,"-","growingCondition",NA
"light","li3","-","light",NA
"plant #",NA,NA,NA,NA
"harvest #",NA,NA,NA,NA
"m.rt","m1","g","m.rt",NA
"m.st","m1","g","m.st",NA
"m.so","m1","g","m.so",NA
"m.to","m1","g","m.to",NA
"m.lf","m1","g","m.lf",NA
"m.br","m1","g","m.br",NA
"m.to2",NA,NA,NA,"Poorter says to ignore this column as it contains errors"
"a.lf","b","m2","a.lf",NA
"ma.ilf","b,m1","kg.m2","ma.ilf",NA
"a.ilf","b","cm2","a.ilf",NA
"c.d","?","cm","c.d",NA
"h.t","?","cm","h.t",NA
"d.ba","i","cm","d.ba",NA
"d.cr","a","cm","d.cr",NA
"d.cr2",NA,NA,NA,NA
"a.cp","?","m2","a.cp",NA
"r.st","?","g.cm3","r.st",NA
