Tree ,species,family,light conditions,NUTRITION,growing year,trunk height cm,trunk dry mass g,Coarse root length cm,coarse root dry mass g,fine root length cm,fine root dry mass g,trunk diameter at soil level cm,leaves fresh mass g, total leaves dry mass g,total leaves area cm 2,above ground dry mass g ,below ground dry mass g ,total dry mass g,Leaf mass per area :LMA*100 g cm-2,Shoot/ root: S/R g g-1,Leaf area ratio: LAR cm2 g-1,Leaf weigh ratio: LWR g g-1,Shoot weigh ratio: SWR g g -1,Root weigh ratio: RWR g g-1,fine root/ coarse root g g-1,average minimum weight at the beginning of the experiment,Relative growth rate RGR la (l›ppkaal)-ln(algkaal)/63,log total dry mass,ln total dry mass,P (mg/g) in leaves ,C (%) in leaves,N (%) in leaves,C/N in leaves,P % in leaves,all data together P % in leaves ,NAR=RGR/LAR,leaves % of total dry mass,stem% of total dry mass,fine roots % of total dry mass,coarse roots % of total dry mass,nothing
12.1,Betula pendula,Betulaceae,1,A,1999,8,0.1201,2.5,0.0804,54,0.2816,0.2,0.244,0.1371,24.83,0.2572,0.362,0.6192,0.5522,0.7105,40.1001,0.2214,0.4154,0.5846,3.5025,0.124,0.0255,-0.208168448,-0.479325565,2.88,45.96,1.27,36.31,,0.288,0.000636561,22.1415812,19.39596785,45.4779729,12.98447806,100
12.2,Betula pendula,Betulaceae,1,A,1999,5.2,0.0651,2.4,0.0712,34,0.2086,0.2,0.245,0.174,30.9075,0.2391,0.2798,0.5189,0.563,0.8546,59.5624,0.3353,0.4608,0.5392,2.9298,0.124,0.0227,-0.28490788,-0.656024638,2.88,45.96,1.27,36.31,,0.288,0.000381472,33.53376564,12.54552582,40.19964189,13.72106665,100
12.3,Betula pendula,Betulaceae,1,A,1999,7,0.1019,1.9,0.0645,24.5,0.1876,0.25,0.114,0.1134,17.3373,0.2153,0.2521,0.4674,0.6543,0.8542,37.0899,0.2427,0.4607,0.5393,2.9085,0.124,0.0211,-0.330274909,-0.760486082,2.88,45.96,1.27,36.31,,0.288,0.000567899,24.26821886,21.79962852,40.13356537,13.79858724,100
10.1,Betula pendula,Betulaceae,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.2,Betula pendula,Betulaceae,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.3,Betula pendula,Betulaceae,1,A,1999,13,0.3169,4.1,0.5038,25,0.5565,0.35,0.813,0.3922,65.14,0.7091,1.0603,1.7694,0.6022,0.6688,36.8138,0.2217,0.4008,0.5992,1.1046,0.124,0.0422,0.247837246,0.570666349,2.15,46.64,1.35,34.43,,0.215,0.001146111,22.1677173,17.90956316,31.45052666,28.47219287,100
27.1,Betula pendula,Betulaceae,1,A,2000,6.5,0.0899,2.2,0.0974,43,0.3916,0.173,,0.3223,52.4529,0.4122,0.489,0.9012,0.6145,0.843,58.2017,0.3577,0.4574,0.5426,4.0205,0.018,0.0621,-0.045165608,-0.103997657,,,1.504,,0.217,0.217,0.001067276,35.76538018,9.975284715,43.451852,10.80748311,100
27.2,Betula pendula,Betulaceae,1,A,2000,3.8,0.027,1.5,0.0284,20,0.1267,0.126,,0.1249,22.5296,0.1519,0.1551,0.307,0.5542,0.9791,73.3952,0.4068,0.4947,0.5053,4.4613,0.018,0.045,-0.512913111,-1.181026082,,,1.504,,0.217,0.217,0.000613413,40.67700671,8.795830965,41.27525123,9.25191109,100
27.3,Betula pendula,Betulaceae,1,A,2000,5.6,0.0498,2.5,0.0532,22,0.1784,0.167,,0.1736,31.6728,0.2234,0.2316,0.455,0.5482,0.9647,69.608,0.3816,0.491,0.509,3.3534,0.018,0.0513,-0.341972397,-0.787420544,,,1.504,,0.217,0.217,0.000736543,38.15615399,10.94464652,39.2073281,11.69187138,100
32.1,Betula pendula,Betulaceae,1,A,2000,4.6,0.0432,1,0.0232,22,0.1537,0.146,,0.1115,17.3665,0.1547,0.1769,0.3316,0.6423,0.8747,52.3653,0.3363,0.4666,0.5334,6.625,0.018,0.0462,-0.47933173,-1.103702097,,,1.816,,0.558,0.558,0.000883197,33.63306321,13.02613207,46.34528934,6.995515372,100
