genet_id,stem_id,species,d.ba,d.bh,h.t,m.st,m.lf,a.lf,a.ilf,n.lf,a.cp,a.ssbh
A1,A1a,Betula pubescens ssp. czerepanovii,0.1153,0.0999,5.6,15.32573,1.388057,12.35123545,0.001201,NA,NA,NA
A2,A2a,Betula pubescens ssp. czerepanovii,0.0505,0.035,3.53,1.7316312444,0.1756824,1.719794733,0.0006049,NA,NA,NA
A2,A2b,Betula pubescens ssp. czerepanovii,0.0371,0.0241,2.75,0.793,0.105524,0.937957477,NA,NA,NA,NA
A2,A2c,Betula pubescens ssp. czerepanovii,0.02635,0.0194,2.25,0.4096693089,0.119132,1.090179459,NA,NA,NA,NA
A2,A2d,Betula pubescens ssp. czerepanovii,0.0772,0.0482,3.3,3.62025,0.29465,2.695708597,NA,NA,NA,NA
A2,A2e,Betula pubescens ssp. czerepanovii,0.0333,0.0255,3.49,0.80991,0.103023,1.039413519,NA,NA,NA,NA
A2,A2f,Betula pubescens ssp. czerepanovii,0.03205,0.01925,2.2,0.4853367675,0.068767,0.709788595,NA,NA,NA,NA
A2,A2g,Betula pubescens ssp. czerepanovii,0.02135,0.0113,2.4,0.72432,0.032074,0.313979638,NA,NA,NA,NA
A3,A3a,Betula pubescens ssp. czerepanovii,0.08965,0.062715,4.5,8.13,0.3807238,3.379014537,NA,NA,NA,NA
A3,A3b,Betula pubescens ssp. czerepanovii,0.05045,0.02655,3.15,1.7972,0.1693417,1.502947979,NA,NA,NA,NA
A3,A3c,Betula pubescens ssp. czerepanovii,0.0488,0.0288,3.05,0.25,0.1378,1.223007869,NA,NA,NA,NA
A3,A3d,Betula pubescens ssp. czerepanovii,0.110925,0.087275,5.27,11.736,0.8890318,8.223573738,NA,NA,NA,NA
A3,A3e,Betula pubescens ssp. czerepanovii,0.031425,0.018205,2.3,0.51,0.0787,0.698481272,NA,NA,NA,NA
A3,A3f,Betula pubescens ssp. czerepanovii,0.034795,0.02049,2.2,0.684,0.071,0.630141935,NA,NA,NA,NA
A4,A4a,Betula pubescens ssp. czerepanovii,0.1496056465,0.1241408556,4.7,29.825,1.287997,13.193059124,NA,NA,NA,NA
BB5,BB5,Betula pubescens ssp. czerepanovii,NA,NA,NA,NA,NA,NA,NA,0.024883821,2.4,0.002054
BB2,BB2,Betula pubescens ssp. czerepanovii,NA,NA,NA,NA,NA,NA,NA,0.024929626,1.3,0.002681
BB4,BB4,Betula pubescens ssp. czerepanovii,NA,NA,NA,NA,NA,NA,NA,0.0266010261,5.5,0.001049
BB6,BB6,Betula pubescens ssp. czerepanovii,NA,NA,NA,NA,NA,NA,NA,0.0323474336,11.6,0.002019
BB3,BB3,Betula pubescens ssp. czerepanovii,NA,NA,NA,NA,NA,NA,NA,0.0264612079,11,0.001766
BB1,BB1,Betula pubescens ssp. czerepanovii,NA,NA,NA,NA,NA,NA,NA,0.0308455324,8.2,0.001708
