spdataset,dataset,species,age,dbh,sapbh,sapcb,h_t,h_c,cw,m_lf,a_lf,wbr,m_st,a_cs,sitequal,socialclass,SAcon,Vell,sp,authorname,reference,country,remark,a_cp,a_st,a_ss_dbh,a_ss_crownbase
Reid-PICO,Reid,PICO,NA,13.6,78.81,NA,16.5,4.7,1.05,2.814772,18.48556376,NA,NA,12.43233185,good,C,8.665992944,2.713157955,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.865901475,0.014526724,0.007881,NA
Reid-PICO,Reid,PICO,NA,13,74.50709113,NA,15.6,4.25,1.3,0.982319,6.247276041,NA,NA,14.13963104,good,C,10.10688705,3.760748206,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.327322896,0.013273229,0.007450709,NA
Reid-PICO,Reid,PICO,NA,8.5,39.28443756,NA,10.75,4.6,0.95,1.327225,8.337449128,NA,NA,10.97837714,good,C,7.609701531,2.173720317,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.708821842,0.005674502,0.003928444,NA
Reid-PICO,Reid,PICO,NA,10.5,61.84245696,NA,11,6.1,1.2,1.9841,14.20476613,NA,NA,18.36111332,good,C,12.68469022,4.599291645,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.130973355,0.008659015,0.006184246,NA
Reid-PICO,Reid,PICO,NA,9.3,45.75,NA,9.4,3.7,1.35,2.645768,17.3756534,NA,NA,12.95260053,good,C,9.407012967,3.530757444,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.431388153,0.006792909,0.004575,NA
Reid-PICO,Reid,PICO,NA,8.5,38.78572888,NA,13.25,4,1,1.2642,8.867320016,NA,NA,10.12437562,good,C,7.117480592,2.094395102,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.785398163,0.005674502,0.003878573,NA
Reid-PICO,Reid,PICO,NA,10,43.26507476,NA,12.2,5.4,1.65,0.547856,3.691623954,NA,NA,22.80098447,good,C,16.29643789,7.697687399,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,2.1382465,0.007853982,0.004326507,NA
Reid-PICO,Reid,PICO,NA,8.6,37.03,NA,9.1,3.2,1.1,0.639238,4.19809072,NA,NA,9.08338382,good,C,6.560609585,2.027374459,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.950331778,0.005808805,0.003703,NA
Reid-PICO,Reid,PICO,NA,6.7,29.0573956,NA,7.8,2.9,1.03,0.57895,3.988631757,NA,NA,7.72815594,good,C,5.598608228,1.610909229,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.833228912,0.003525652,0.00290574,NA
Reid-PICO,Reid,PICO,NA,7.6,29.10768372,NA,8.7,3,0.9,0.602425,4.802885404,NA,NA,6.901357532,good,C,4.924770125,1.272345025,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.636172512,0.00453646,0.002910768,NA
Reid-PICO,Reid,PICO,NA,10.5,60.29858908,NA,13,5.8,0.95,1.076895,7.260289528,NA,NA,13.75559101,good,C,9.39288613,2.740777791,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.708821842,0.008659015,0.006029859,NA
Reid-PICO,Reid,PICO,NA,11,53.77666664,NA,12.4,5.5,1.3,1.661453,9.445724303,NA,NA,18.05287054,good,C,12.63667738,4.866850619,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.327322896,0.009503318,0.005377667,NA
Reid-PICO,Reid,PICO,NA,7.4,23.62511404,NA,9.4,2.7,0.58,0.685611,4.105104133,NA,NA,3.939430161,good,C,2.738223247,0.475574296,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,0.264207942,0.00430084,0.002362511,NA
Reid-PICO,Reid,PICO,NA,10,55.27845575,NA,11.1,5.8,1.55,1.942738,9.7883741,NA,NA,22.8285343,good,C,16.13388604,7.296087139,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.886919088,0.007853982,0.005527846,NA
Reid-PICO,Reid,PICO,NA,10.2,44.6999106,NA,10,3.9,1.45,0.992546,7.044899208,NA,NA,14.68807146,good,C,10.68633544,4.29337906,Pinus contorta var. latifolia,Dougl. ex Loud.,Reid et al. 2004,USA,,1.651299639,0.008171282,0.004469991,NA
