"var_in","method","unit_in","var_out","notes"
"grouping",NA,NA,"grouping",NA
"location",NA,NA,"location",NA
"vegetation",NA,NA,"vegetation",NA
"lai","?","m2.m2","lai",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"family",NA,NA,"family",NA
"pft",NA,NA,"pft",NA
"age","?","yr","age",NA
"a.lf","c,b,r,7","m2","a.lf",NA
"a.stbh","?","m2","a.stbh",NA
"a.ssbh","?","m2","a.ssbh",NA
"h.t","?","m","h.t",NA
"h.c","?","m","h.c",NA
"d.bh","?","m","d.bh",NA
"d.cr","?","m","d.cr",NA
"m.lf","m5,7","kg","m.lf",NA
"growingCondition",NA,NA,"growingCondition",NA
"status",NA,NA,"status",NA
