"var_in","method","unit_in","var_out","notes"
"ID",NA,NA,NA,NA
"Species",NA,NA,"species",NA
"Botanical.family",NA,NA,"family",NA
"Wood.density..g.cm-3.","m4","g.cm3","r.st",NA
"dbh..cm.","v3","cm","d.bh",NA
"Total.height..m.","?","m","h.t",NA
"Basal.area..m2.",NA,NA,NA,NA
"Basal.area..m2.ha-1.",NA,NA,NA,NA
"Wood.mass..kg........bole.+.branches.","m4","kg","m.st",NA
"Wood.mass..kg.ha-1........bole.+.branches.",NA,NA,NA,NA
"Leaf.mass..kg.","m3,x1","kg","m.lf",NA
"Leaf.mass..kg.ha-1.",NA,NA,NA,NA
"Vegetation.type",NA,NA,"vegetation",NA
"Growing.environment",NA,NA,"growingCondition",NA
"Location",NA,NA,"location",NA
"Mean.annual.rainfall",NA,"mm","map",NA
"Mean.annual.temperature",NA,"deg","mat",NA
