"lookupVariable","lookupValue","newVariable","newValue","source"
NA,NA,"vegetation","Sav","from paper[D Barneche]"
NA,NA,"growingCondition","FW","from paper[D Barneche]"
NA,NA,"latitude","-18.66","from paper[D Barneche]"
NA,NA,"longitude","-44","from paper[D Barneche]"
,,status,3,DBarneche[from_author_reply]
species,Acosmium sp.,pft,DA,DBarneche[from_author_reply]
species,Astronium fraxinifolium,pft,DA,DBarneche[from_author_reply]
species,Byrsonima coccolobifolia,pft,DA,DBarneche[from_author_reply]
species,Curatella americana,pft,DA,DBarneche[from_author_reply]
species,Eriotheca gracilipes,pft,DA,DBarneche[from_author_reply]
species,Erythroxylum suberosum,pft,DA,DBarneche[from_author_reply]
species,Lafoensia pacari,pft,DA,DBarneche[from_author_reply]
species,Piptocarpha rotundifolia,pft,DA,DBarneche[from_author_reply]
species,Plathymenia reticulata,pft,DA,DBarneche[from_author_reply]
species,Pouteria torta,pft,DA,DBarneche[from_author_reply]
species,Pterodon emarginatus,pft,DA,DBarneche[from_author_reply]
species,Qualea grandiflora,pft,DA,DBarneche[from_author_reply]
species,Qualea parviflora,pft,DA,DBarneche[from_author_reply]
species,Sclerolobium sp.,pft,EA,DBarneche[from_author_reply]
species,Solanum sp.,pft,EA,DBarneche[from_author_reply]
species,Strychnos pseudoquina,pft,DA,DBarneche[from_author_reply]
species,Stryphnodendron adstringens,pft,DA,DBarneche[from_author_reply]
species,Terminalia argentea,pft,DA,DBarneche[from_author_reply]
