"Loblolly pine, 15-years-old at time of destructive harvest, Winston County, Mississippi (Roberts et al. 2003. Forest Ecology and Management  172:261-270)",,,,,,,,,,,,,,
"In our analysis, we didn't include families 'O' and 'C' because they were all border trees, thus had very unequal crowns.",,,,,,,,,,,,,,
Variables described on separate worksheet,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
fam,tree,dbh,hite_m,hite_a,ht_blc,CW1,CW2,cw_avg,stem,branches,foliage,twigs,crn_wood,tot_wt
B,B1,17.7,17.2,17.60,12,3.50,2.30,2.9,73812.69541,4641.023488,6411.619659,1378.728058,6019.751545,86244.06662
B,B2,19.9,18.6,18.37,12.2,4.42,2.50,3.46,86024.27361,7491.385201,7285.763441,1929.265947,9420.651148,102730.6882
B,B3,18.6,17.8,17.42,12.2,3.65,2.50,3.08,77519.28457,4312.909833,4953.25571,1123.607445,5436.517278,87909.05756
B,B4,14.7,17.8,17.32,12,3.85,2.30,3.08,52660.08844,1977.64489,3078.477666,777.0772342,2754.722124,58493.28823
B,B5,22,18.8,18.64,10.4,5.55,3.95,4.75,130528.7781,14401.41631,13941.78096,2635.188429,17036.60474,161507.1638
B,B6,22.1,17.8,18.21,10.6,5.80,4.08,4.94,126881.6713,13655.9989,11191.05417,2652.72243,16308.72133,154381.4468
B,B7,16.3,16,15.95,9.4,3.85,2.55,3.2,62394.46794,5229.184136,4676.564665,1041.998345,6271.182481,73342.21508
B,B8,18.5,16,16.15,10.8,4.42,2.75,3.59,86003.67639,7374.900445,4995.873371,1181.812179,8556.712624,99556.26238
C,C1,20.3,15.2,15.62,8.4,4.15,3.11,3.63,84357.30444,13475.95986,6061.358654,1656.192009,15132.15187,105550.815
C,C2,8.9,10,10.43,5.2,2.70,2.30,2.5,13030.63604,1534.750769,1059.109574,210.9949129,1745.745682,15835.49129
C,C3,19.2,14.8,14.70,6,6.50,4.35,5.43,85847.33767,19339.08562,10861.28281,3240.600776,22579.6864,119288.3069
C,C4,22.2,15.2,15.05,7.2,4.85,6.70,5.78,101911.2303,19822.31778,11769.94852,3257.149417,23079.4672,136760.646
C,C5,14.8,12.2,12.05,5.6,4.57,3.90,4.24,38020.84369,6176.781452,3378.937243,1040.063668,7216.84512,48616.62605
C,C6,23.5,16.7,16.92,7.2,7.10,5.00,6.05,125863.1051,23980.34026,18547.51706,4446.5711,28426.91136,172837.5336
C,C7,25.9,17,17.20,9,3.30,6.50,4.9,157724.4494,31142.96585,13702.32852,5481.211828,36624.17768,208050.9556
G,G1,23.5,18,18.40,11.6,4.55,4.30,4.43,144578.8431,14214.19241,11953.49224,2445.076327,16659.26874,173191.6041
