"Loblolly Pine, 10-years-old at time of destructive harvest, Newton County, MS (Roberts et al. 2004. Proceedings of 12th Biennial Southern Silvicultural Research Conference.)",,,,,,,,,,,,,
"Treatments are 3 levels of poultry litter application (0, 6, 23 Mg/ha). Trees sampled 2-years following treatment.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Plot,Tree,Treat,DBH ,Hite_a,Hite_m,Ht BLC,CW1,CW2,stem_wood,crown_wood,tot_wood,tot_fol,tot_tree
1,1,3,5.6,7.05,7.2,3.7,1.7,1.43,3818.67,650.80,4469.46,621.39,5090.85
1,2,3,11.8,9.6,9.5,4.8,3.29,2.78,19136.28,4771.74,23908.02,4647.74,28555.76
1,3,3,8.1,8.85,7.5,4.12,3.39,2.19,7759.81,1835.84,9595.65,1797.64,11393.29
2,1,3,5.8,7.85,7.65,4.65,1.9,1.8,4857.11,673.64,5530.75,949.84,6480.59
2,2,3,13.6,9.15,9.65,4.1,2.7,2.6,19722.88,4578.64,24301.52,5034.73,29336.25
2,3,3,8.9,7.45,7.8,4.5,2.67,2.37,2214.66,2666.46,4881.12,3420.59,8301.71
2,4,3,10.3,8.17,8,4.1,1.88,2.1,10276.98,1672.94,11949.92,2078.25,14028.17
3,1,1,4.5,6.4,6.6,3.5,1.7,1.53,2611.06,325.80,2936.86,506.57,3443.42
3,2,1,7.5,8.4,8.5,4.52,2.16,2.2,8140.93,1510.52,9651.45,1624.58,11276.03
3,3,1,13.5,10.2,10.5,4.24,3.06,3.62,22925.26,6559.32,29484.58,6122.88,35607.46
3,4,1,10.1,9.05,9.1,4.85,2.82,3.5,14790.58,3005.00,17795.58,3329.09,21124.67
4,1,2,5,7.01,6.5,3.65,1.85,2.1,3142.40,398.59,3540.99,738.84,4279.84
4,2,2,7.8,8.65,7.7,3.3,1.7,1.7,7644.82,1105.72,8750.54,2083.35,10833.89
4,3,2,8.9,7.9,7.5,4.4,2.1,3.2,9384.16,2241.76,11625.93,2681.36,14307.29
4,4,2,11,8.6,8.3,3.72,2.35,2.65,14957.34,4357.76,19315.10,4209.66,23524.77
5,1,1,5.2,7.2,6.8,3.85,1.7,1.5,3886.95,425.11,4312.07,802.70,5114.77
5,2,1,10.2,9.75,9.4,4.77,2.2,2.25,13826.88,2836.68,16663.56,3520.45,20184.00
5,3,1,7.4,7.55,6.4,3.73,2.13,2.65,6888.20,1889.98,8778.18,1964.30,10742.49
6,1,2,8.2,10.1,10.4,4.46,1.66,1.85,10391.51,1281.45,11672.97,1759.66,13432.63
6,2,2,10.7,9.85,10.9,4.32,1.95,3.08,14935.27,3252.45,18187.73,3980.14,22167.87
6,3,2,12.3,10.42,10.3,5.2,2.75,3.3,22519.57,4949.45,27469.02,5028.08,32497.10
7,1,1,9.3,9.64,9.3,4.86,3.08,2.7,13747.40,2489.69,16237.09,3076.81,19313.90
7,2,1,6.4,8.1,7.6,4.33,1.2,1.63,6308.41,1032.66,7341.07,1320.50,8661.57
8,1,3,9.15,9.46,9.3,5.32,2.94,2.48,12178.69,2144.11,14322.80,2856.08,17178.88
8,2,3,9.6,9.91,9.6,5.84,3.857,2.6,14300.02,2347.78,16647.80,3033.52,19681.31
9,1,2,7.8,7.75,7.6,3.62,1.78,1.73,6656.04,1190.81,7846.85,2243.82,10090.67
9,2,2,10.3,8.125,8.3,4.47,2.83,1.9,13370.96,2692.18,16063.13,4361.45,20424.58
