"lookupVariable","lookupValue","newVariable","newValue","source"
,,"species","Pinus radiata","from paper[D Barneche]"
,,"latitude","-34.15","DBarneche[from_author_reply]"
,,"longitude","-71.88","DBarneche[from_author_reply]"
,,"growingCondition","FE","from paper[D Barneche]"
,,"vegetation","TempF","from paper[D Barneche]"
,,"pft","EG","from paper[D Barneche]"
,,"map","700","from paper[D Barneche]"
,,"mat","13.64","from paper[D Barneche]"
,,location,"Corporacion Nacional Forestal, in Tanume, community of Pichilemu, VI Region, Chile",DBarneche[from_paper]
,,h.bh,1.3,default
