a.stbh,h.t,h.c,m.lf,a.lf,a.ssbh,a.ssbc,species,pft
0.0130698,12.15,8.06,5.35,28.65,0.008819,0.006219,Pseudotsuga menziesii,EG
0.019606663,15.08,9.55,7.87,41.51,0.01094,0.007528,Pseudotsuga menziesii,EG
0.009160876,12.9,8.61,3.22,17.28,0.004492,0.004431,Pseudotsuga menziesii,EG
0.032365446,19.1,10.67,11.34,74.65,0.013511,0.008913,Pseudotsuga menziesii,EG
0.014313869,15.1,7.56,5.68,41.76,0.005451,0.004311,Pseudotsuga menziesii,EG
0.031730844,17.5,12.37,17.52,103.61,0.015662,0.01331,Pseudotsuga menziesii,EG
0.0754767,20.4,13.6,38.68,219.71,0.036284,0.023233,Pseudotsuga menziesii,EG
0.044862691,18.1,11.8,19.5,112.41,0.023815,0.015898,Pseudotsuga menziesii,EG
0.072106559,19.4,12.28,40.43,221.66,0.039198,0.020865,Pseudotsuga menziesii,EG
0.01495711,14.33,7.89,3.58,25.86,0.008633,0.00391,Pseudotsuga menziesii,EG
0.022697988,15.8,9.86,7.13,49.19,0.012159,0.008214,Pseudotsuga menziesii,EG
0.033653497,22.5,10.19,12.76,71.74,0.014225,0.009481,Pseudotsuga menziesii,EG
0.071631394,24.84,14.84,27.91,150.86,0.033089,0.021328,Pseudotsuga menziesii,EG
0.115811574,26.3,14.72,44.07,233.41,0.048041,0.025284,Pseudotsuga menziesii,EG
0.098422873,23.9,12.76,31.33,168.89,0.038368,0.017215,Pseudotsuga menziesii,EG
0.019113434,20.3,9.52,6.02,34.93,0.00841,0.004356,Pseudotsuga menziesii,EG
0.045238896,19.42,10.2,9.91,56.65,0.016794,0.006719,Pseudotsuga menziesii,EG
0.041547528,22.6,11.6,10.88,62.35,0.020018,0.007824,Pseudotsuga menziesii,EG
0.109858261,25.8,16.5,48.84,256.74,0.049856,0.024588,Pseudotsuga menziesii,EG
0.018626487,20.55,11.6,9.58,55.37,0.01024,0.005991,Pseudotsuga menziesii,EG
0.0629017,25.8,18.08,30.45,164.88,0.030321,0.01862,Pseudotsuga menziesii,EG
0.033979437,23.08,8.45,5.95,36.58,0.017166,0.005565,Pseudotsuga menziesii,EG
0.024328473,21.62,9.21,6.8,40.22,0.009731,0.005006,Pseudotsuga menziesii,EG
0.022965808,17.85,11.65,15.22,83.17,0.010945,0.008898,Pseudotsuga menziesii,EG
0.041547528,20.57,11.52,13.5,76.22,0.018788,0.013173,Pseudotsuga menziesii,EG
0.007697681,14.43,9.67,4.12,25.14,0.003735,0.002048,Pseudotsuga menziesii,EG
0.082447888,24.25,13.2,22.89,123.73,0.056585,0.023002,Pseudotsuga menziesii,EG
