Site,Species,Age yrs,latitude,longitude,soil,Veg Type,Functional type,Environment,Shading,Block,Species2,DensityID,Silviculturalinputs,FamilyID,Tree,DBH,GLD,HT,Foliage,Branches,Bole,Bark,CoarseR20,CoarseR40,Taproot,CoarseRoot,DeadBranch,DeadNeedles in kg,HCB,Cwalong,Cwacross,SNA,LEAFAREA,Ht25,AC25,AL25,Ht50,AC50,AL50,Ht75,AC75,AL75
"Bunnell, FL",,2,29.77,-81.42,Spodosol,TempF,EG,FE,Open Grown - young,,L,N,H,L2,12,4.3,10,3.32,1.2563,0.9118,1.750213204,0.460986796,0.5614,0.1244,0.9406,,,0.2509,0.37,170,155,189.4832015,23.8047746,,,,,,,,,
"Bunnell, FL",,2,29.77,-81.42,Spodosol,TempF,EG,FE,Open Grown - young,,L,N,H,L4,81,4.4,9.8,3.44,1.8884,1.6298,2.060933333,0.372666667,0.2752,0.0997,1.0445,,,0.3702,0.25,190,235,153.1894355,28.92829299,,,,,,,,,
"Bunnell, FL",,2,29.77,-81.42,Spodosol,TempF,EG,FE,Open Grown - young,,L,W,H,L2,70,3.8,10.2,2.42,1.9993,1.4494,1.517795868,0.375104132,,,,,,0.5053,0.2,208,215,156.8800018,31.36501877,,,,,,,,,
"Bunnell, FL",,2,29.77,-81.42,Spodosol,TempF,EG,FE,Open Grown - young,,L,W,H,L4,20,4.2,10.8,2.9,2.6396,1.689,1.752202782,0.353197218,,,,,,0.1909,0.05,236,208,149.4362775,39.44519982,,,,,,,,,
"Bunnell, FL",,2,29.77,-81.42,Spodosol,TempF,EG,FE,Open Grown - young,,L,N,L,L2,6,3.2,7.6,3.21,1.0635,0.574,1.159532515,0.311367485,,,,,,0.1545,0.23,145,150,155.9020525,16.58018329,,,,,,,,,
"Bunnell, FL",,2,29.77,-81.42,Spodosol,TempF,EG,FE,Open Grown - young,,L,N,L,L4,122,3.6,7.7,3.48,1.0685,0.8756,1.477087643,0.290712357,,,,,,0.2605,0.21,180,172,147.0597857,15.7133381,,,,,,,,,
"Bunnell, FL",,2,29.77,-81.42,Spodosol,TempF,EG,FE,Open Grown - young,,L,W,L,L2,73,1.9,6.9,2.25,0.6434,0.4233,,,,,,,,0.1148,0.3,128,129,181.0369883,11.64791983,,,,,,,,,
"Bunnell, FL",,2,29.77,-81.42,Spodosol,TempF,EG,FE,Open Grown - young,,L,W,L,L4,9,1.7,6.6,2.05,1.2691,0.8082,0.486473988,0.153526012,,,,,,0.1017,0.01,135,164,130.6717608,16.58355317,,,,,,,,,
"Bunnell, FL",,2,29.77,-81.42,Spodosol,TempF,EG,FE,Open Grown - young,,L,N,H,L2,4,3.7,9.3,2.58,1.4409,1.0869,1.4710538,0.3118462,,,,,,0.2849,0.23,173,167,108.1455745,15.58269583,,,,,,,,,
"Bunnell, FL",,2,29.77,-81.42,Spodosol,TempF,EG,FE,Open Grown - young,,L,N,H,L4,3,2,7.8,2.27,1.3426,0.9867,0.686904355,0.159795645,,,,,,0.3186,0.25,160,202,137.0150964,18.39564684,,,,,,,,,
"Bunnell, FL",,2,29.77,-81.42,Spodosol,TempF,EG,FE,Open Grown - young,,L,W,H,L2,77,2.7,7.9,2.2,1.3489,0.7946,0.838149701,0.238550299,,,,,,0.1705,0.2,164,152,136.9333372,18.47093786,,,,,,,,,
"Bunnell, FL",,2,29.77,-81.42,Spodosol,TempF,EG,FE,Open Grown - young,,L,W,H,L4,5,1.9,8.2,2.2,1.4466,0.872,1.03983279,0.23286721,,,,,,0.1365,0.32,170,138,154.7684477,22.38880365,,,,,,,,,
