species,family,Time ,light level,SLA (cm2 g-1),Leaf biomass (g),Stem biomass (g),Root biomass (g),Initial height (cm),Final height (cm),leafbiomass_fixed,leafmassproblem
Citharexylum mocinnii,Verbenaceae,1,a,243.33,0.898,0.029,0.073,6.8,9.4,0.1857,
Citharexylum mocinnii,Verbenaceae,1,a,285.79,0.859,0.028,0.114,5,8,0.0697,
Citharexylum mocinnii,Verbenaceae,1,a,232.23,0.934,0.035,0.099,6.2,8.3,0.0742,
Citharexylum mocinnii,Verbenaceae,1,a,241.01,0.865,0.029,0.037,6,8.9,0.0546,
Citharexylum mocinnii,Verbenaceae,1,a,206.41,0.943,0.031,0.088,6,8,0.0741,y
Citharexylum mocinnii,Verbenaceae,1,a,335.31,0.961,0.012,0.027,4,4.7,0.0217,
Citharexylum mocinnii,Verbenaceae,1,a,264.31,0.853,0.021,0.013,3.5,7.2,0.674,
Citharexylum mocinnii,Verbenaceae,1,a,237.68,0.889,0.027,0.074,5,9.4,0.0884,
Citharexylum mocinnii,Verbenaceae,1,a,335.71,0.115,0.033,0.141,6.5,9.5,0.115,
Citharexylum mocinnii,Verbenaceae,1,a,0,0,0,0,6,0,0,
Citharexylum mocinnii,Verbenaceae,2,a,210.33,0.923,0.031,0.047,6,7.6,0.058,
Citharexylum mocinnii,Verbenaceae,2,a,184.16,0.836,0.067,0.102,6.5,9.5,0.836,
Citharexylum mocinnii,Verbenaceae,2,a,249.43,0.921,0.026,0.093,5,8,0.921,
Citharexylum mocinnii,Verbenaceae,2,a,199.85,0.936,0.024,0.04,5,6,0.936,
Citharexylum mocinnii,Verbenaceae,2,a,210.9,0.742,0.029,0.259,5,10,0.742,
Citharexylum mocinnii,Verbenaceae,2,a,208.58,0.854,0.053,0.095,5,9.2,0.854,
Citharexylum mocinnii,Verbenaceae,2,a,257.01,0.112,0.039,0.131,5,9,0.112,
Citharexylum mocinnii,Verbenaceae,2,a,317.92,0.756,0.049,0.183,7,11,0.756,
Citharexylum mocinnii,Verbenaceae,2,a,263.25,0.804,0.024,0.173,4,6.5,0.804,
Citharexylum mocinnii,Verbenaceae,2,a,0,0,0,0,6.5,0,0,
Citharexylum mocinnii,Verbenaceae,3,a,255.4,0.684,0.051,0.139,5,12,0.684,
Citharexylum mocinnii,Verbenaceae,3,a,289.44,0.769,0.065,0.196,5,14.5,0.769,
Citharexylum mocinnii,Verbenaceae,3,a,243.01,0.726,0.081,0.193,5.5,14.6,0.726,
Citharexylum mocinnii,Verbenaceae,3,a,272.13,0.684,0.064,0.255,5,13.5,0.684,
Citharexylum mocinnii,Verbenaceae,3,a,192.9,0.688,0.085,0.326,9,12.5,0.688,
Citharexylum mocinnii,Verbenaceae,3,a,322.62,0.964,0.048,0.189,7,15,0.254,
Citharexylum mocinnii,Verbenaceae,3,a,291.54,0.947,0.046,0.118,5.2,13.2,0.947,
Citharexylum mocinnii,Verbenaceae,3,a,218.53,0.489,0.076,0.336,6.5,14,0.489,
Citharexylum mocinnii,Verbenaceae,3,a,204.28,0.574,0.1,0.227,4.5,12.5,0.574,
Citharexylum mocinnii,Verbenaceae,3,a,0,0,0,0,5.5,0,0,
Citharexylum mocinnii,Verbenaceae,4,a,272.1,0.695,0.051,0.249,5,11,0.695,
Citharexylum mocinnii,Verbenaceae,4,a,372.88,0.707,0.064,0.121,4.5,13,0.707,
Citharexylum mocinnii,Verbenaceae,4,a,274.28,0.776,0.081,0.188,4.5,4,0.776,
Citharexylum mocinnii,Verbenaceae,4,a,227.68,0.531,0.064,0.104,6.5,10,0.531,
Citharexylum mocinnii,Verbenaceae,4,a,301.2,0.403,0.085,0.405,5,26,0.403,
Citharexylum mocinnii,Verbenaceae,4,a,294.72,0.504,0.047,0.276,3.5,17,0.504,
Citharexylum mocinnii,Verbenaceae,4,a,247.29,0.429,0.046,0.412,6,22,0.429,
Citharexylum mocinnii,Verbenaceae,4,a,330.14,0.428,0.076,0.378,5.5,6.5,0.428,
Citharexylum mocinnii,Verbenaceae,4,a,309.71,0.531,0.099,0.291,5,23.8,0.531,
Citharexylum mocinnii,Verbenaceae,4,a,275.66,0.128,0.032,0.592,4,9,0.128,
Citharexylum mocinnii,Verbenaceae,5,a,135.35,0.146,0.449,0.404,5.5,43.5,0.146,
Citharexylum mocinnii,Verbenaceae,5,a,424.37,0.433,0.253,0.271,6.5,36,0.433,
Citharexylum mocinnii,Verbenaceae,5,a,258.94,0.125,0.571,0.283,7,40,0.125,
Citharexylum mocinnii,Verbenaceae,5,a,265.58,0.602,0.995,0.668,6,48,0.602,
Citharexylum mocinnii,Verbenaceae,5,a,378.96,0.859,0.023,0.018,5.5,11.5,0.859,
