"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,0.054,NA,NA,0.136,NA,NA,NA,6.3,6.961,0.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,0.062,NA,NA,0.173,NA,NA,NA,8.5,9.763,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,NA,NA,0.062,NA,NA,0.391,NA,NA,NA,7.9,9.721,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,9.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,NA,NA,0.106,NA,NA,0.788,NA,NA,NA,40.8,47.198,5.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,6.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,NA,NA,0.106,NA,NA,0.662,NA,NA,NA,40,43.252,2.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,NA,NA,0.109,NA,NA,0.481,NA,NA,NA,37.9,42.441,4.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,NA,NA,0.148,NA,NA,1.35,NA,NA,NA,59.1,67.45,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1,NA,NA,0.149,NA,NA,1.55,NA,NA,NA,79.6,91.45,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,0.158,NA,NA,1.52,NA,NA,NA,60.5,70.83,8.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5,NA,NA,0.195,NA,NA,3.82,NA,NA,NA,177,202.92,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2,NA,NA,0.197,NA,NA,2.25,NA,NA,NA,127,149.75,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,35.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,0.2,NA,NA,3.48,NA,NA,NA,156,200.18,40.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,97.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3,NA,NA,0.259,NA,NA,9.95,NA,NA,NA,265,344.55,69.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,NA,NA,0.265,NA,NA,9.51,NA,NA,NA,268,341.51,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
"Ishihara0000","Japan-Chiba Forest of Tokyo University-Compartment 17-b",35.2,140.1,"TempF",NA,NA,NA,NA,"Cinnamomum camphora","Lauraceae","EA",46,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,NA,NA,0.29,NA,NA,12.9,NA,NA,NA,293,450.9,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo. (1968) Primary production and distribution of produced dry matter in a plantation of Cinnamomum camphora : Materials for the studies of growth in stands. 7. Bulletin of the Tokyo University Forests 64: 241-275.","Satoo1968"
