"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Kooti, Anamizu-mati-_",37.22,136.85,"TempF",NA,NA,NA,NA,"Thujopsis dolabrata","Cupressaceae","EG",NA,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,0.052,NA,NA,0.65,NA,NA,NA,4.12,5,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo; Negisi, Ken'itiroo; Yagi, Kitokuroo. (1974) Primary production relations in a plantation of Thujopsis dolabrata in Noto Peninsula: Materials for the studies of growth in forest stands. 12. Bulletin of the Tokyo University Forests 66: 139-155.","Satoo1974a"
"Ishihara0000","Japan-Kooti, Anamizu-mati-_",37.22,136.85,"TempF",NA,NA,NA,NA,"Thujopsis dolabrata","Cupressaceae","EG",NA,14.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,NA,NA,0.08,NA,NA,3.43,NA,NA,NA,10.41,15.37,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo; Negisi, Ken'itiroo; Yagi, Kitokuroo. (1974) Primary production relations in a plantation of Thujopsis dolabrata in Noto Peninsula: Materials for the studies of growth in forest stands. 12. Bulletin of the Tokyo University Forests 66: 139-155.","Satoo1974a"
"Ishihara0000","Japan-Kooti, Anamizu-mati-_",37.22,136.85,"TempF",NA,NA,NA,NA,"Thujopsis dolabrata","Cupressaceae","EG",NA,19.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,NA,NA,0.097,NA,NA,4.66,NA,NA,NA,19.86,26.8,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo; Negisi, Ken'itiroo; Yagi, Kitokuroo. (1974) Primary production relations in a plantation of Thujopsis dolabrata in Noto Peninsula: Materials for the studies of growth in forest stands. 12. Bulletin of the Tokyo University Forests 66: 139-155.","Satoo1974a"
"Ishihara0000","Japan-Kooti, Anamizu-mati-_",37.22,136.85,"TempF",NA,NA,NA,NA,"Thujopsis dolabrata","Cupressaceae","EG",NA,31.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,0.118,NA,NA,7.73,NA,NA,NA,24.42,35.21,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo; Negisi, Ken'itiroo; Yagi, Kitokuroo. (1974) Primary production relations in a plantation of Thujopsis dolabrata in Noto Peninsula: Materials for the studies of growth in forest stands. 12. Bulletin of the Tokyo University Forests 66: 139-155.","Satoo1974a"
"Ishihara0000","Japan-Kooti, Anamizu-mati-_",37.22,136.85,"TempF",NA,NA,NA,NA,"Thujopsis dolabrata","Cupressaceae","EG",NA,57.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,NA,NA,0.138,NA,NA,13.9,NA,NA,NA,40.24,59.27,5.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo; Negisi, Ken'itiroo; Yagi, Kitokuroo. (1974) Primary production relations in a plantation of Thujopsis dolabrata in Noto Peninsula: Materials for the studies of growth in forest stands. 12. Bulletin of the Tokyo University Forests 66: 139-155.","Satoo1974a"
"Ishihara0000","Japan-Kooti, Anamizu-mati-_",37.22,136.85,"TempF",NA,NA,NA,NA,"Thujopsis dolabrata","Cupressaceae","EG",NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,0.037,NA,NA,0.61,NA,NA,NA,1.6,2.42,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo; Negisi, Ken'itiroo; Yagi, Kitokuroo. (1974) Primary production relations in a plantation of Thujopsis dolabrata in Noto Peninsula: Materials for the studies of growth in forest stands. 12. Bulletin of the Tokyo University Forests 66: 139-155.","Satoo1974a"
"Ishihara0000","Japan-Kooti, Anamizu-mati-_",37.22,136.85,"TempF",NA,NA,NA,NA,"Thujopsis dolabrata","Cupressaceae","EG",NA,7.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,0.06,NA,NA,1.73,NA,NA,NA,4.8,7.5,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo; Negisi, Ken'itiroo; Yagi, Kitokuroo. (1974) Primary production relations in a plantation of Thujopsis dolabrata in Noto Peninsula: Materials for the studies of growth in forest stands. 12. Bulletin of the Tokyo University Forests 66: 139-155.","Satoo1974a"
"Ishihara0000","Japan-Kooti, Anamizu-mati-_",37.22,136.85,"TempF",NA,NA,NA,NA,"Thujopsis dolabrata","Cupressaceae","EG",NA,20.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,0.087,NA,NA,4.87,NA,NA,NA,11.59,18.65,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo; Negisi, Ken'itiroo; Yagi, Kitokuroo. (1974) Primary production relations in a plantation of Thujopsis dolabrata in Noto Peninsula: Materials for the studies of growth in forest stands. 12. Bulletin of the Tokyo University Forests 66: 139-155.","Satoo1974a"
"Ishihara0000","Japan-Kooti, Anamizu-mati-_",37.22,136.85,"TempF",NA,NA,NA,NA,"Thujopsis dolabrata","Cupressaceae","EG",NA,33.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0.112,NA,NA,8.09,NA,NA,NA,20.07,32.3,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo; Negisi, Ken'itiroo; Yagi, Kitokuroo. (1974) Primary production relations in a plantation of Thujopsis dolabrata in Noto Peninsula: Materials for the studies of growth in forest stands. 12. Bulletin of the Tokyo University Forests 66: 139-155.","Satoo1974a"
"Ishihara0000","Japan-Kooti, Anamizu-mati-_",37.22,136.85,"TempF",NA,NA,NA,NA,"Thujopsis dolabrata","Cupressaceae","EG",NA,63.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,NA,NA,0.128,NA,NA,15.37,NA,NA,NA,26.21,47.7,6.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PM",NA,NA,"Satoo, Taisitiroo; Negisi, Ken'itiroo; Yagi, Kitokuroo. (1974) Primary production relations in a plantation of Thujopsis dolabrata in Noto Peninsula: Materials for the studies of growth in forest stands. 12. Bulletin of the Tokyo University Forests 66: 139-155.","Satoo1974a"
