dataset,location,latitude,longitude,vegetation,species,family,pft,age,h.t,d.bh,m.lf,m.st,m.so,m.br,growingCondition
Satoo1974c,Japan-Mt. Asibetu-,43.22,142.33,TempF,Larix kaempferi,Pinaceae,DG,21,16.0,0.148,2.12,51.50,61.16,7.54,PM
Satoo1974c,Japan-Mt. Asibetu-,43.22,142.33,TempF,Larix kaempferi,Pinaceae,DG,21,14.6,0.113,1.86,26.21,32.96,4.89,PM
Satoo1974c,Japan-Mt. Asibetu-,43.22,142.33,TempF,Larix kaempferi,Pinaceae,DG,21,14.6,0.129,2.01,38.38,46.43,6.04,PM
Satoo1974c,Japan-Mt. Asibetu-,43.22,142.33,TempF,Larix kaempferi,Pinaceae,DG,21,13.9,0.149,4.39,40.06,55.48,11.03,PM
Satoo1974c,Japan-Mt. Asibetu-,43.22,142.33,TempF,Larix kaempferi,Pinaceae,DG,21,14.0,0.123,2.89,31.56,39.70,5.25,PM
Satoo1974c,Japan-Mt. Asibetu-,43.22,142.33,TempF,Larix kaempferi,Pinaceae,DG,21,17.1,0.199,6.62,97.97,122.98,18.39,PM
Satoo1974c,Japan-Mt. Asibetu-,43.22,142.33,TempF,Larix kaempferi,Pinaceae,DG,21,14.3,0.125,1.85,33.14,39.31,4.32,PM
Satoo1974c,Japan-Mt. Asibetu-,43.22,142.33,TempF,Larix kaempferi,Pinaceae,DG,21,16.8,0.209,6.12,110.83,140.06,23.11,PM
Satoo1974c,Japan-Mt. Asibetu-,43.22,142.33,TempF,Larix kaempferi,Pinaceae,DG,21,15.5,0.164,4.59,70.18,88.05,13.28,PM
Satoo1974c,Japan-Mt. Asibetu-,43.22,142.33,TempF,Larix kaempferi,Pinaceae,DG,21,15.6,0.138,2.94,46.93,55.34,5.47,PM
