"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"vegetation",NA,NA,"vegetation",NA
"family",NA,NA,"family",NA
"species",NA,NA,"species",NA
"pft",NA,NA,"pft",NA
"age","?","yr","age",NA
"h.t","?","m","h.t",NA
"d.bh","d3","m","d.bh",NA
"m.lf","mx,x1","kg","m.lf",NA
"m.st","j,mx,e2","kg","m.st",NA
"m.so","mx","kg","m.so",NA
"m.br","mx","kg","m.br",NA
"growingCondition",NA,NA,"growingCondition",NA
