"var_in","method","unit_in","var_out","notes"
"Age","?","yr","age",NA
"a.lf","?","m2","a.lf",NA
"lf.sz","a2","cm2","a.ilf",NA
"a.st","i2","m2","a.stbh",NA
"h.t","?","m","h.t",NA
"h.c","?","m","h.c",NA
"m.lf","?","g","m.lf",NA
"m.st","?","g","m.st",NA
"m.br.2.","br1","g","m.br",NA
"lf.ma.1.","a1","g.m2","ma.ilf",NA
"d.st","?","g.cm3","r.st",NA
"n.lf","a1","kg.kg","n.lf",NA
"light","li2","-","light",NA
"Species",NA,NA,"species",NA
"Code",NA,NA,NA,NA
"family",NA,"-","family",NA
"pft",NA,"-","pft",NA
"growth.conditions",NA,NA,NA,NA
"status",NA,"-","status",NA
"Dawkins",NA,NA,NA,NA
"Climbing",NA,NA,NA,NA
"lat",NA,NA,NA,NA
"long",NA,NA,NA,NA
"vegetation",NA,"-","vegetation",NA
"lai","?","m2.m2","lai",NA
"map",NA,"mm","map",NA
"mat",NA,"deg","mat",NA
"reference",NA,NA,NA,NA
