"","var_in","method","unit_in","var_out","notes"
"1","Age","","yr","age",NA
"2","a.lf","","m2","a.lf",NA
"3","lf.sz","a2","cm2","lf.sz",NA
"4","a.st","i2","m2","a.stbh",NA
"5","h.t","","m","h.t",NA
"6","h.c","","m","h.c",NA
"7","m.lf","","g","m.lf",NA
"8","m.st","","g","m.st",NA
"9","m.br.2.","br1","g","m.br",NA
"10","lf.ma.1.","a1","g.m2","lf.ma",NA
"11","d.st","","g.cm3","d.st",NA
"12","n.lf","a1","mmol.N.m2","n.lf",NA
"13","light","li2","-","light",NA
"14","Species",NA,NA,"species",NA
"15","Code",NA,NA,NA,NA
"16","family",NA,NA,NA,NA
"17","pft",NA,NA,NA,NA
"18","growth.conditions",NA,NA,NA,NA
"19","status",NA,NA,NA,NA
"20","Dawkins",NA,NA,NA,NA
"21","Climbing",NA,NA,NA,NA
"22","group..7.",NA,NA,"grouping",NA
"23","lat",NA,NA,NA,NA
"24","long",NA,NA,NA,NA
"25","vegetation",NA,NA,NA,NA
"26","lai",NA,NA,NA,NA
"27","map",NA,NA,NA,NA
"28","mat",NA,NA,NA,NA
"29","reference",NA,NA,NA,NA
