"lookupVariable","lookupValue","newVariable","newValue","source"
NA,NA,"growingCondition","PU","from paper[D Barneche]"
NA,NA,"latitude","-11","from paper[D Barneche]"
NA,NA,"longitude","-66","from paper[D Barneche]"
NA,NA,"location","Riberalta, Bolivian Amazon","from paper[D Barneche]"
NA,NA,"status","2",""
NA,NA,"h.bh","1.3","default"
"species", "Adenocalymma impressum", "family", "Bignoniaceae", "from author feedback[D Barneche]"
"species", "Brosimum lactescens", "family", "Moraceae", "from author feedback[D Barneche]"
"species", "Cecropia ficifolia", "family", "Urticaceae", "from author feedback[D Barneche]"
"species", "Combretum gracilis", "family", "Combretacea", "from author feedback[D Barneche]"
"species", "Couratari guianensis", "family", "Lecythidaceae", "from author feedback[D Barneche]"
"species", "Ochroma pyramidale", "family", "Malvaceae", "from author feedback[D Barneche]"
"species", "Pseudolmedia laevis", "family", "Moraceae", "from author feedback[D Barneche]"
"species", "Rinereocarpus uleii", "family", "Violaceae", "from author feedback[D Barneche]"
"species", "Trema micrantha", "family", "Ulmaceae", "from author feedback[D Barneche]"
"species", "Uncaria guianensis", "family", "Rubiaceae", "from author feedback[D Barneche]"
