"var_in","method","unit_in","var_out","notes"
"Minimum Age (year)","?","yr","age",NA
"Height (m)","?","m","h.t",NA
"Dbh (cm)",NA,NA,NA,NA
"Dry mass (Mg)","m3","Mg","m.so",NA
"Heartwood area (m2)",NA,NA,NA,NA
"Bark area (m2)",NA,NA,NA,NA
"Leaf dry mass (kg)","m3","kg","m.lf",NA
"Tree",NA,NA,"species",NA
"Heartwood volume (m3)",NA,NA,NA,NA
"Sapwood volume (m3)",NA,NA,NA,NA
"Bark volume (m3)",NA,NA,NA,NA
"Decaying wood volume (m3)",NA,NA,NA,NA
"Cambium (m2)",NA,NA,NA,NA
"Leaf area (m2)","e1,a1,x1,a4","m2","a.lf",NA
"Number of leaves (millions)",NA,NA,NA,NA
"Wood growth (kg)",NA,NA,NA,NA
"PC1",NA,NA,NA,NA
"PC2",NA,NA,NA,NA
"status",NA,NA,"status",NA
"m.st","?","kg","m.st",NA
"a.stbh","?","cm2","a.stbh","Created from diameter in manipulate step"
