"dataset","location","latitude","longitude","vegetation","species","age","h.t","d.bh","m.lf","m.st","m.so","m.br","m.rt","m.to","growingCondition"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,3.52,0.032,0.29,1.19,1.87,0.39,0.84,2.71,"PM"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,4.55,0.044,0.48,2.14,3.02,0.4,1.86,4.88,"PM"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,4.3,0.056,1.1,3.2,5.17,0.87,1.75,6.92,"PM"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,5.1,0.072,1.44,5.95,9.5,2.11,1.77,11.27,"PM"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,5.75,0.079,2.36,7.23,12.55,2.96,3.34,15.89,"PM"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,5.36,0.088,2.5,9.69,15.29,3.1,2.83,18.12,"PM"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,7.72,0.099,3.18,16.12,23.96,4.66,6.04,30,"PM"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,7.52,0.112,4.34,21.54,32.64,6.76,5.61,38.25,"PM"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,7.81,0.118,5.85,22.53,36.44,8.06,8,44.44,"PM"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,9.1,0.132,6.5,33.26,50.6,10.84,13,63.6,"PM"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,8.65,0.141,7.64,35.71,55.23,11.88,12.55,67.78,"PM"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,7.79,0.146,8.63,35.97,58.5,13.9,15.91,74.41,"PM"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,8.6,0.161,9.68,44.41,72.99,18.9,22.38,95.37,"PM"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,8.5,0.166,11.43,45.83,82.44,25.18,23.31,105.75,"PM"
"Singh1980","India-Varanasi District Chandraprabha Sanctuary-Shikarganj Block 15A",26,83,"TropSF","Tectona grandis",15,8.55,0.169,12.69,46.29,86.3,27.32,24.27,110.57,"PM"
