,cm,m,,,m,kg,1,2,3,4,5,cm2,cm2,m2
tree,dbh,hgt ,stratum,crown class,hgt crown base,foliage mass,% foliate mass by morphology type,% foliate mass by morphology type,% foliate mass by morphology type,% foliate mass by morphology type,% foliate mass by morphology type,BH Sapwood area,BLC sapwood area,Leaf Area
2,10.9,9.6,d,s,3.7,3.45,,,0,0,0,64.8,44.7,13.2
3,11.2,7.7,c,d,1.1,15.0,,,0,0,0,68.6,80.0,40.6
4,16.5,7.8,c,cd,0.8,20.5,14.5,84.7,0.0,0.0,0.7,103.1,116.3,49.0
5,23.1,18.5,c,i,5.4,24.8,13.9,86.1,0.0,0.0,0.0,158.3,135.2,60.7
6,9.4,8.5,d,s,2.6,10.1,23.6,76.4,0.0,0.0,0.0,53.8,48.5,30.2
7,61.0,33.6,b,cd,8.9,133.6,20.0,52.7,27.0,4.6,0.3,676.6,495.6,277.9
8,92.7,45.2,a,d,8.4,386.9,8.7,31.1,60.1,7.5,0.0,1601.8,1158.0,673.9
9,34.8,29.7,b,i,14.8,37.2,31.6,68.4,0.0,0.0,0.0,298.1,200.8,88.0
10,32.0,30.3,b,i,12.0,49.2,35.5,64.5,0.0,0.0,0.0,277.6,191.9,154.8
11,47.0,37.1,b,cd,18.0,52.0,36.8,57.6,5.6,1.4,0.0,481.1,239.4,67.1
12,15.0,10.2,d,s,5.8,5.3,41.8,58.2,0.0,0.0,0.0,,46.1,15.3
