"","var_in","method","unit_in","var_out","notes"
"1","height (m)",NA,"m","h.t",NA
"2","Crown depth (m)",NA,"m","c.d",NA
"3","Crown area (m2)",NA,"m2","a.cs",NA
"4","Individual leaf area (cm2)",NA,"cm2","lf.sz",NA
"5","Total leaf area (m2)",NA,"m2","a.lf",NA
"6","LMA (g.cm-2)",NA,"g.cm2","lf.ma",NA
"7","WD (g.cm3)",NA,"g.cm3","d.st",NA
"8","Individual",NA,NA,NA,NA
"9","Type (1=tree; 2=sapling shade; 3=sapling light)",NA,NA,NA,NA
"10","# shoots",NA,NA,NA,NA
"11","Current-year wood biomass (g.yr-1)",NA,NA,NA,NA
"12","Leaf biomass (g.yr-1)",NA,NA,NA,NA
"13","Segment biomass (g.yr-1)",NA,NA,NA,NA
"14","Fruit biomass (g.yr-1)",NA,NA,NA,NA
"15","Biomass fraction allocated to wood",NA,NA,NA,NA
"16","Biomass fraction allocated to leaves",NA,NA,NA,NA
"17","Biomass fraction allocated to segments",NA,NA,NA,NA
"18","Biomass fraction allocated to fruits",NA,NA,NA,NA
"19","",NA,NA,NA,NA
"20","",NA,NA,NA,NA
