"dataset","location","latitude","longitude","vegetation","species","family","pft","h.t","d.bh","m.lf","m.st","m.so","m.br","m.rt","m.to","growingCondition"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Carpinus spp.","Betulaceae","DA",14.3,0.096,0.67,18.17,30.37,11.53,13.3,43.67,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Carpinus spp.","Betulaceae","DA",11,0.067,0.24,8.4,12.07,3.43,3.75,15.82,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Carpinus spp.","Betulaceae","DA",17.5,0.159,2.8,74.04,125.46,48.62,20.25,145.71,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Carpinus spp.","Betulaceae","DA",17.9,0.201,3.93,115.11,203.23,84.19,46.29,249.52,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Carpinus spp.","Betulaceae","DA",17.2,0.122,NA,56.47,NA,11.2,14.21,NA,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Carpinus spp.","Betulaceae","DA",12.17,0.085,NA,18.63,NA,4.73,7.95,NA,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Carpinus spp.","Betulaceae","DA",6.5,0.051,NA,4.13,NA,1.69,3.19,NA,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Fagus crenata","Fagaceae","DA",12.2,0.171,0.74,83.03,118.85,35.08,27.3,146.15,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Fagus crenata","Fagaceae","DA",20.7,0.254,1.82,228.51,356.4,126.07,57.9,414.3,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Fagus crenata","Fagaceae","DA",7.8,0.067,0.33,8.77,14.38,5.28,3.77,18.15,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Fagus crenata","Fagaceae","DA",6.9,0.065,0.21,6.66,11.01,4.14,3.35,14.36,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Fagus crenata","Fagaceae","DA",9.5,0.094,0.22,17.46,21.95,4.27,7.93,29.88,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Fagus crenata","Fagaceae","DA",6.6,0.04,0.08,2.71,3.51,0.72,1.45,4.96,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Fagus crenata","Fagaceae","DA",10.3,0.1,0.34,23.4,31.39,7.65,7.13,38.52,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Fagus crenata","Fagaceae","DA",10.8,0.117,0.43,31.5,42.03,10.1,13.45,55.48,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Fagus crenata","Fagaceae","DA",4.8,0.03,0.03,1.78,1.96,0.15,0.38,2.34,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Acer mono","Aceraceae","DA",7.02,0.062,0.17,7.35,8.74,1.22,3.52,12.26,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Acer mono","Aceraceae","DA",12.54,0.099,0.38,28.87,33.88,4.63,10.82,44.7,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Acer mono","Aceraceae","DA",11.3,0.134,0.56,44.14,58.54,13.84,17.52,76.06,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Acer mono","Aceraceae","DA",10.4,0.11,0.28,24.58,29.87,5.01,13.34,43.21,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Acer mono","Aceraceae","DA",11.65,0.072,0.16,16.9,18.31,1.25,6.88,25.19,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Acer mono","Aceraceae","DA",7.3,0.05,0.07,5.15,5.49,0.27,2.66,8.15,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Acer mono","Aceraceae","DA",14.6,0.152,0.7,76.17,114.33,37.46,NA,NA,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Acer mono","Aceraceae","DA",21.2,0.364,6.27,444.76,763.74,312.71,NA,NA,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Acer mono","Aceraceae","DA",7.5,0.076,0.27,9.92,11.46,1.27,NA,NA,"FW"
"Sueda2003","Japan-Komenono-",33.9,132.9,"TempF","Swida controversa","Cornaceae","DA",19.5,0.283,NA,265.46,306,40.26,108.1,414.1,"FW"
