dataset,location,latitude,longitude,vegetation,species,family,pft,h.t,d.bh,d.cr,m.lf,m.st,m.so,m.br,m.rc,m.to,growingCondition
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,21.35,0.5016,8.705,117.04,695.41,1278.61,465.35,315.31,1593.92,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,18.50,0.3748,9.325,88.25,324.01,732.77,312.44,189.86,922.63,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,16.40,0.3180,8.45,49.78,259.10,496.92,187.85,119.06,615.98,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,12.60,0.1840,4.20,25.80,61.82,118.22,30.38,35.56,153.78,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,9.72,0.1315,3.15,7.95,26.39,42.25,7.91,16.41,58.66,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,9.88,0.1175,3.625,6.19,20.45,35.18,8.54,6.68,41.86,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,7.48,0.1050,3.085,4.41,18.76,28.51,5.34,5.99,34.50,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Abies sachalinensis,Pinaceae,EG,4.75,0.0610,1.795,1.27,3.92,6.52,1.33,2.59,9.11,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Betula ermanii,Betulaceae,DA,20.80,0.5150,11.35,27.05,984.83,1286.25,267.24,458.79,1745.04,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Betula ermanii,Betulaceae,DA,17.37,0.3185,9.235,17.80,360.95,542.78,162.83,154.83,697.61,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Betula ermanii,Betulaceae,DA,19.40,0.2908,8.585,6.70,230.40,317.86,80.07,104.79,422.65,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Betula ermanii,Betulaceae,DA,11.87,0.1630,5.085,2.00,70.58,103.92,31.34,52.11,156.03,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Betula ermanii,Betulaceae,DA,9.35,0.1111,3.00,1.66,25.20,32.751,5.89,15.59,48.35,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Betula ermanii,Betulaceae,DA,7.53,0.0683,3.005,0.25,9.70,12.38,2.43,3.98,16.36,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Betula ermanii,Betulaceae,DA,6.76,0.0650,2.35,0.73,7.08,9.61,1.80,3.10,12.71,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Quercus crispula,Fagaceae,DA,17.50,0.5500,NA,36.88,936.97,1684.6,710.75,286.86,1971.46,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Quercus crispula,Fagaceae,DA,15.45,0.3880,NA,17.87,407.06,591.40,166.47,113.44,704.84,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Quercus crispula,Fagaceae,DA,10.67,0.2140,7.26,7.16,103.47,183.611,72.98,54.87,238.481,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Quercus crispula,Fagaceae,DA,10.60,0.1990,6.275,5.17,97.91,151.50,48.42,48.39,199.89,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Quercus crispula,Fagaceae,DA,6.90,0.1023,4.95,1.68,15.77,27.47,10.02,13.03,40.50,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Quercus crispula,Fagaceae,DA,7.00,0.0880,NA,1.14,12.35,19.01,5.52,4.91,23.92,FW
Takagi2010,Japan-Teshio Experimental Forest of Hokkaido University-,45.05,142.12,TempF,Quercus crispula,Fagaceae,DA,4.08,0.0376,2.10,0.19,1.85,2.40,0.36,1.40,3.80,FW
