var_in,method,unit_in,var_out,notes
dataset,NA,NA,NA,NA
location,NA,-,location,NA
latitude,NA,deg,latitude,NA
longitude,NA,deg,longitude,NA
vegetation,NA,-,vegetation,NA
family,NA,-,family,NA
species,NA,-,species,NA
pft,NA,-,pft,NA
age,?,yr,age,NA
a.lf,"b,c,1",m2,a.lf,NA
a.stbc,?,m2,a.stbc,NA
a.cp,?,m2,a.cp,NA
h.t,?,m,h.t,NA
h.c,?,m,h.c,NA
d.bh,?,m,d.bh,NA
m.lf,"m5,1",kg,m.lf,NA
m.st,"j,m3,m5",kg,m.st,NA
m.so,m5,kg,m.so,NA
m.br,m5,kg,m.br,NA
m.rt,m5,kg,m.rt,NA
m.to,m5,kg,m.to,NA
growingCondition,NA,-,growingCondition,NA
