dataset,location,latitude,longitude,vegetation,species,family,pft,h.t,d.bh,m.lf,m.st,m.so,m.br,m.rt,m.to,growingCondition
Tange1995,"Japan-Chiba Forest of Tokyo University, Gobozawa-GBU1",35.2,140.1,TempF,Cryptomeria japonica,Taxodiaceae,EG,20.8,0.32,29.1,311,376.0,35.9,NA,NA,PM
Tange1995,"Japan-Chiba Forest of Tokyo University, Gobozawa-GBU1",35.2,140.1,TempF,Cryptomeria japonica,Taxodiaceae,EG,20.6,0.4,37.8,393,477.8,47.0,NA,NA,PM
Tange1995,"Japan-Chiba Forest of Tokyo University, Gobozawa-GBU1",35.2,140.1,TempF,Cryptomeria japonica,Taxodiaceae,EG,20.1,0.42,45.9,504,601.1,51.2,NA,NA,PM
Tange1995,"Japan-Chiba Forest of Tokyo University, Gobozawa-GBU1",35.2,140.1,TempF,Cryptomeria japonica,Taxodiaceae,EG,19.9,0.28,17.2,226,271.1,27.9,NA,NA,PM
Tange1995,"Japan-Chiba Forest of Tokyo University, Gobozawa-GBU1",35.2,140.1,TempF,Cryptomeria japonica,Taxodiaceae,EG,13.6,0.22,13.0,101,137.5,23.5,NA,NA,PM
Tange1995,"Japan-Chiba Forest of Tokyo University, Gobozawa-GBU2",35.2,140.1,TempF,Cryptomeria japonica,Taxodiaceae,EG,25.3,0.42,50.2,537,618.3,31.1,NA,NA,PM
Tange1995,"Japan-Chiba Forest of Tokyo University, Gobozawa-GBU2",35.2,140.1,TempF,Cryptomeria japonica,Taxodiaceae,EG,23.1,0.3,22.0,283,327.5,22.5,NA,NA,PM
Tange1995,"Japan-Chiba Forest of Tokyo University, Gobozawa-GBU2",35.2,140.1,TempF,Cryptomeria japonica,Taxodiaceae,EG,21.1,0.35,39.1,356,425.4,30.3,NA,NA,PM
Tange1995,"Japan-Chiba Forest of Tokyo University, Gobozawa-GBU2",35.2,140.1,TempF,Cryptomeria japonica,Taxodiaceae,EG,18.8,0.22,8.6,114,126.6,4.0,NA,NA,PM
Tange1995,"Japan-Chiba Forest of Tokyo University, Gobozawa-GBU2",35.2,140.1,TempF,Cryptomeria japonica,Taxodiaceae,EG,15.5,0.15,1.6,49,51.5,0.9,NA,NA,PM
Tange1995,"Japan-Chiba Forest of Tokyo University, Gobozawa-GBM",35.2,140.1,TempF,Cryptomeria japonica,Taxodiaceae,EG,26.9,0.48,30.2,697,774.0,46.8,NA,NA,PM
Tange1995,"Japan-Chiba Forest of Tokyo University, Gobozawa-GBM",35.2,140.1,TempF,Cryptomeria japonica,Taxodiaceae,EG,26.2,0.44,37.0,650,741.1,54.1,NA,NA,PM
Tange1995,"Japan-Chiba Forest of Tokyo University, Gobozawa-GBM",35.2,140.1,TempF,Cryptomeria japonica,Taxodiaceae,EG,25.8,0.36,17.7,426,466.1,22.4,NA,NA,PM
Tange1995,"Japan-Chiba Forest of Tokyo University, Gobozawa-GBM",35.2,140.1,TempF,Cryptomeria japonica,Taxodiaceae,EG,22.9,0.29,11.2,246,265.6,8.4,NA,NA,PM
