"dataset","location","latitude","longitude","vegetation","map","mat","grouping","lai","species","family","pft","age","a.lf","a.ssba","a.ssbh","a.ssbc","a.shba","a.shbh","a.shbc","a.sbba","a.sbbh","a.sbbc","a.stba","a.stbh","a.stbc","a.cp","a.cs","h.t","h.c","d.ba","d.bh","d.cr","c.d","m.lf","m.ss","m.sh","m.sb","m.st","m.so","m.br","m.rf","m.rc","m.rt","m.to","a.ilf","ma.ilf","r.st","r.ss","r.sb","r.sh","n.lf","n.ss","n.sb","n.sh","n.rf","n.rc","growingCondition","status","light","Note","studyName"
"Ishihara0000","Japan-Amami Kinsakubaru Forest-Stand A",28.33,129.45,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,1.3288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,5.3,NA,0.066,NA,NA,0.127,NA,NA,NA,7.282,7.683,0.274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Kinsakubaru Forest-Stand A",28.33,129.45,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,2.6774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,3,NA,0.088,NA,NA,0.286,NA,NA,NA,18.671,19.458,0.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Kinsakubaru Forest-Stand A",28.33,129.45,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,3.7525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,8.2,NA,0.107,NA,NA,0.474,NA,NA,NA,28.688,30.312,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Kinsakubaru Forest-Stand A",28.33,129.45,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,6.1461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6.8,NA,0.12,NA,NA,0.619,NA,NA,NA,28.663,31.129,1.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Kinsakubaru Forest-Stand A",28.33,129.45,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,13.9663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,5.5,NA,0.122,NA,NA,1.402,NA,NA,NA,36.973,43.876,5.501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Kinsakubaru Forest-Stand A",28.33,129.45,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,11.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,7,NA,0.146,NA,NA,1.666,NA,NA,NA,47.93,56.236,6.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Kinsakubaru Forest-Stand A",28.33,129.45,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,26.1829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4,6.2,NA,0.18,NA,NA,3.272,NA,NA,NA,77.345,90.599,9.982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Kinsakubaru Forest-Stand A",28.33,129.45,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,34.5231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.8,7,NA,0.21,NA,NA,4.832,NA,NA,NA,110.669,144.826,29.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Kinsakubaru Forest-Stand A",28.33,129.45,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,36.2364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,6.9,NA,0.224,NA,NA,5.664,NA,NA,NA,123.141,154.715,25.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Kinsakubaru Forest-Stand A",28.33,129.45,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,48.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,5.7,NA,0.226,NA,NA,6.258,NA,NA,NA,121.181,157.414,29.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Ukenson Forest-Stand B",28.3,129.3,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,0.8267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,4.3,NA,0.03,NA,NA,0.063,NA,NA,NA,1.009,1.168,0.096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Ukenson Forest-Stand B",28.3,129.3,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,0.5563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,3.3,NA,0.032,NA,NA,0.058,NA,NA,NA,1.141,1.263,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Ukenson Forest-Stand B",28.3,129.3,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,1.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,5.4,NA,0.04,NA,NA,0.126,NA,NA,NA,2.189,2.495,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Ukenson Forest-Stand B",28.3,129.3,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,3.474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,4,NA,0.046,NA,NA,0.318,NA,NA,NA,4.009,4.881,0.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Ukenson Forest-Stand B",28.3,129.3,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,2.2701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,5.3,NA,0.057,NA,NA,0.251,NA,NA,NA,6.736,7.695,0.708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Ukenson Forest-Stand B",28.3,129.3,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,4.5382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,5.6,NA,0.059,NA,NA,0.367,NA,NA,NA,5.512,6.512,0.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Ukenson Forest-Stand B",28.3,129.3,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,4.4914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,4.6,NA,0.065,NA,NA,0.518,NA,NA,NA,7.742,8.657,0.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Ukenson Forest-Stand B",28.3,129.3,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,6.7059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,5.3,NA,0.075,NA,NA,0.804,NA,NA,NA,11.468,13.925,1.653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Ukenson Forest-Stand B",28.3,129.3,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,11.7829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,5.8,NA,0.089,NA,NA,1.292,NA,NA,NA,15.68,18.7,1.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
"Ishihara0000","Japan-Amami Ukenson Forest-Stand B",28.3,129.3,"TempF",NA,NA,NA,NA,"Castanopsis sieboldii","Fagaceae","EA",NA,15.5718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,4.9,NA,0.093,NA,NA,1.61,NA,NA,NA,17.561,22.751,3.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FW",NA,NA,"Terashi, K; Setoguchi, T. (1982) Studies on subtropical broadleaf forest (III) Biomass of Castanopsis sieboldii [in Japanese]. The Bulletin of Kyushu Branch of the Japanese Forestry Society 35: 91-92.","Terashi1982"
