Temp,CO2,Genotype,Potnum,Nodenum,Leafnum,Height,LA,LeafDW,StemDW,RootDW,SLA
Elv,640,DP16,1,7,12,39,895.9,3.9335,2.395,0.8491,225.33
Elv,640,DP16,2,7,9,36,,4.0755,2.1351,0.9931,216.03
Elv,640,DP16,3,7,12,36,878.09,3.784,2.1308,1.0113,225.04
Elv,640,DP16,6,7,9,34,804.01,3.3845,1.9926,0.986,245.7
Elv,640,DP16,8,7,14,39,1169.19,5.8101,3.3947,1.3695,184.82
Elv,640,DP16,10,7,10,37,927.26,4.3728,2.6342,1.1933,207.1
Elv,640,71BRF,11,6,10,34,657.69,2.8931,2.0654,0.7843,223.51
Elv,640,71BRF,13,6,8,32,554.97,2.4834,1.6269,0.6549,226.29
Elv,640,71BRF,15,6,8,33,551.47,2.3407,1.5136,0.7039,231.35
Elv,640,71BRF,18,7,10,38,747.1,3.4898,2.6919,1.1496,210.66
Elv,640,71BRF,19,7,11,38,729.23,3.8092,2.7451,1.1534,192.32
Elv,400,DP16,21,7,10,39,719.77,3.6726,2.5241,1.2187,232.78
Elv,400,DP16,22,8,14,41,918.72,3.9687,2.8146,1.1428,275.33
Elv,400,DP16,24,7,11,40,1023.24,4.1496,2.9846,,228.94
Elv,400,DP16,25,6,10,35,842.9,3.0339,1.7838,0.7782,245.74
Elv,400,DP16,26,8,11,39,1125.39,4.4222,2.9831,1.2404,221.34
Elv,400,DP16,28,6,10,35,878.42,3.3143,1.9289,0.9348,242.83
Elv,400,71BRF,31,6,8,28,650.28,1.7836,1.2484,0.5436,237.58
Elv,400,71BRF,32,5,9,35,658.11,2.6466,1.9425,0.6412,191.71
Elv,400,71BRF,34,6,7,38,548.49,2.2129,1.9003,0.5128,220
Elv,400,71BRF,36,7,9,37,823.08,3.4159,2.4298,0.7967,221.34
Elv,400,71BRF,37,6,10,35,742.53,2.9316,2.3037,0.9095,237.49
Elv,400,71BRF,39,6,8,31,545.47,2.5539,1.5828,0.5372,177.89
Amb,400,DP16,41,4,5,24,451.05,1.5567,0.8953,0.3927,273.19
Amb,400,DP16,42,5,6,30,580.77,2.189,1.438,0.6074,242.71
Amb,400,DP16,44,5,6,26,447.52,1.591,,0.3492,266.13
Amb,400,DP16,46,5,6,27,493.71,1.722,1.0987,0.5746,246.01
Amb,400,DP16,49,5,7,27,699.14,2.4992,1.3924,0.6774,265.56
Amb,400,DP16,50,5,6,25,547.01,1.8229,0.9186,0.5504,277.09
Amb,400,71BRF,51,5,6,23,322.06,1.2808,0.9149,0.4141,234.11
Amb,400,71BRF,52,4,6,25,219.09,0.9969,0.8,0.4132,199.27
Amb,400,71BRF,56,4,4,22,190.75,0.724,0.5271,0.2788,251.18
Amb,400,71BRF,57,4,4,24,232.26,0.8675,0.7389,0.3895,234.16
Amb,400,71BRF,58,4,4,20,153.78,0.6348,0.5255,0.2867,239.7
Amb,400,71BRF,60,4,5,24,258.82,0.9139,0.8417,0.3227,305.4
Amb,640,DP16,61,5,7,30,578.01,2.4628,1.4152,,235.8
Amb,640,DP16,62,5,6,27,543.73,2.0772,1.0639,0.5453,260.54
Amb,640,DP16,63,5,6,27,623.67,2.2065,1.2801,0.6025,260.27
Amb,640,DP16,65,5,6,28,571.56,2.3139,1.2151,0.6765,251.52
Amb,640,DP16,67,6,7,30,676.04,2.1073,1.4559,0.7875,227.25
Amb,640,DP16,68,6,8,32,763.44,3.4338,1.7983,0.8316,184.7
Amb,640,71BRF,72,6,8,32,517.54,2.4198,1.8044,0.7435,201.44
Amb,640,71BRF,75,5,6,28,449.38,1.9617,1.3891,0.5465,212.66
Amb,640,71BRF,76,4,5,27,336.5,1.5718,1.0614,0.5322,208.17
Amb,640,71BRF,77,5,6,27,429.39,1.6786,1.0298,0.5005,202.9
Amb,640,71BRF,79,5,6,26,388.98,1.7926,1.2065,0.5638,193.37
Amb,640,71BRF,80,5,6,27,396.52,1.8421,1.2119,0.4818,181.46
