Temp,CO2,Potnum,LA,StemFW,LeafFW,StemDW,LeafDW,LMA,Narea
Amb,640,1,1568,89.77,125.43,33.37,41.52,264.7959184,5.58
Amb,640,2,2126,46.51,153.73,15.63,60.33,283.7723424,4.70
Amb,640,3,1761,62.36,139.45,20.58,52.16,296.1953436,4.48
Amb,640,5,2701,76.27,167.69,27.85,63.98,236.8752314,3.55
Amb,640,7,2370,72.35,171.4,25.35,67.9,286.4978903,4.94
Amb,640,9,2340,114.97,183.82,39.92,70.18,299.9145299,4.58
Amb,400,102,1902,69.12,152.89,20.84,54.88,288.5383807,4.95
Amb,400,104,2116,100.86,161.21,30.74,58.58,276.8431002,5.43
Amb,400,105,2280,57.77,159.71,17.1,55.54,243.5964912,5.09
Amb,400,107,1778,75.44,122.53,24.42,45.36,255.1181102,5.19
Amb,400,108,1685,70.85,119.78,21.37,45.28,268.7240356,4.89
Amb,400,110,1353,49.9,89.63,14.95,31.13,230.0813008,5.84
Amb,280,202,2253,41.88,135.41,12.11,47.04,208.7882823,5.26
Amb,280,203,1866,31.56,116.23,8.82,38.61,206.9131833,6.23
Amb,280,205,2258,34.87,124.18,9.75,41.79,185.0752879,4.91
Amb,280,208,2364,56.69,154.01,17.29,52.04,220.1353638,4.95
Amb,280,209,2615,45.02,156.19,12.44,51.37,196.4435946,4.99
Amb,280,210,2957,62.41,179.93,17.34,61.51,208.0148799,5.34
Elv,280,301,2099,34.66,120.08,9.16,40.17,191.3768461,5.11
Elv,280,302,3255,60.35,202.6,17.75,67.38,207.0046083,4.49
Elv,280,305,1712,28.47,90.8,7.81,33.12,193.4579439,4.90
Elv,280,306,2206,47.71,147.78,12.75,49.64,225.0226655,4.83
Elv,280,308,2401,56.43,158.03,15.53,52.95,220.5331112,5.91
Elv,280,309,2053,31.96,113.83,9.3,40.14,195.518753,5.42
Elv,400,401,1974,45.8,136.12,12.55,45.88,232.4214792,5.49
Elv,400,405,2180,51.79,161.52,12.87,52.97,242.9816514,5.78
Elv,400,407,1446,31.03,86.54,8.88,28.71,198.5477178,5.06
Elv,400,408,2183,64.97,153.69,18.34,52.75,241.639945,5.39
Elv,400,409,1717,46.79,116.04,11.75,40.72,237.1578334,6.42
Elv,400,410,3614,64.67,203.03,18.6,69.97,193.6081904,5.63
Elv,640,504,2173,42.49,147.34,12.34,48.9,225.0345145,4.83
Elv,640,505,2051,64.99,153.89,17.96,52.16,254.3149683,4.81
Elv,640,506,3509,90.31,235.54,25.62,79.51,226.5887717,4.13
Elv,640,508,2088,47.04,125.69,15.32,43.46,208.1417625,3.98
Elv,640,509,2244,81.18,162.98,23.43,52.06,231.9964349,3.89
Elv,640,510,2838,57.4,180.38,16.3,61.99,218.4284708,4.62
