dataset,grouping,location,latitude,longitude,vegetation,lai,map,mat,family,species,pft,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Fagaceae,Quercus crispula,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,2.15,NA,0.03089172,NA,NA,0.165807388,NA,NA,NA,1.414109511,1.843406899,0.26349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Fagaceae,Quercus crispula,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7,4.8,NA,0.236942675,NA,NA,5.310440517,NA,NA,NA,182.2113217,239.8567105,52.33494835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Fagaceae,Quercus crispula,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1.9,NA,0.117515924,NA,NA,0.670715082,NA,NA,NA,26.26500397,30.15997417,3.224255121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Fagaceae,Quercus crispula,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.2,8.5,NA,0.315286624,NA,NA,11.05952451,NA,NA,NA,311.9924796,408.9112236,85.85921948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Fagaceae,Quercus crispula,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9,11,NA,0.21656051,NA,NA,3.576603164,NA,NA,NA,114.6213736,138.3465298,20.14855306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Fagaceae,Quercus crispula,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,11.1,NA,0.449044586,NA,NA,13.38014525,NA,NA,NA,828.418913,1202.855856,361.056798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Fagaceae,Quercus crispula,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,1.47,NA,0.037261147,NA,NA,0.21269,NA,NA,NA,1.208516286,1.857606286,0.4364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Fagaceae,Quercus crispula,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.95,13.8,NA,0.441082803,NA,NA,19.01417629,NA,NA,NA,907.4077491,1195.671171,269.2492459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Fagaceae,Quercus crispula,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.6,8.5,NA,0.296496815,NA,NA,10.31061691,NA,NA,NA,435.7300278,533.6110406,87.57039595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
Utsugi0001,NA,Japan-Experimental Forest of Hokkaido Research Center of Forestry and Forest Products Research Institute-Compartment 6-Ro,42.9887,141.385,NA,NA,NA,NA,Fagaceae,Quercus crispula,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.98,1.9,NA,0.197452229,NA,NA,3.953743619,NA,NA,NA,88.83415603,128.684632,35.89673237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,NA,NA
