species,treatment,a.cs,h.c,h.t,a.lf,lf.sz,m.t,m.lf,d.st,lf.ma,a.cp
P. acuminata,HL,0.078808742,0.10662062,0.180507967,0.024218669,0.004036445,NA,NA,0.46,22.83881647,0.044725293
P. acuminata,HL,0.214247428,0.256257492,0.330144839,0.05358888,0.005358888,NA,NA,0.46,22.83881647,0.080008043
P. acuminata,HL,0.325961754,0.423575042,0.497462389,0.106108926,0.005305446,NA,NA,0.46,22.83881647,0.079614055
P. acuminata,HL,0.350817271,0.429183475,0.504779192,0.116576884,0.004663075,NA,NA,0.46,22.83881647,0.094304614
P. acuminata,HL,0.373980845,0.349975861,0.618715892,0.120375662,0.003883086,0.01494,0.00275,0.46,22.83881647,0.161536138
P. acuminata,ML,0.005810825,0.028363666,0.088812824,0.001640708,0.000410177,NA,NA,0.46,22,0.003891242
P. acuminata,ML,0.009197604,0.036799601,0.088812946,0.003856299,0.000642717,NA,NA,0.46,22,0.00628818
P. acuminata,ML,0.009197604,0.036799601,0.088812946,0.003856299,0.000642717,0.00013,8.50E-05,0.46,22,0.00628818
P. acuminata,LL,0.005399534,0.014208601,0.079696913,0.000968362,0.000242091,NA,NA,0.46,21.9,0.004030665
P. acuminata,LL,0.005399534,0.014208601,0.079696913,0.000968362,0.000242091,NA,NA,0.46,21.9,0.004030665
P. acuminata,LL,0.01454206,0.061112659,0.126600971,0.002335439,0.00029193,NA,NA,0.46,21.9,0.005654458
P. acuminata,LL,0.018213481,0.067111745,0.132600057,0.003867971,0.000322331,NA,NA,0.46,21.9,0.006236476
P. acuminata,LL,0.017202654,0.068655111,0.160296482,0.003229196,0.00032292,0.00016,7.10E-05,0.46,21.9,0.006276904
P. acuminata,ML,0.006956777,0.02719004,0.087174125,0.001925976,0.000481494,NA,NA,0.46,22,0.004495471
P. acuminata,ML,0.03808634,0.081327389,0.141312204,0.015602778,0.001560278,NA,NA,0.46,22,0.021944511
P. acuminata,ML,0.064132376,0.125774365,0.18575918,0.020375078,0.00185228,NA,NA,0.46,22,0.026662821
P. acuminata,ML,0.036242036,0.099908931,0.159893746,0.012123381,0.001347042,NA,NA,0.46,22,0.01847388
P. acuminata,ML,0.069076145,0.217718772,0.277703587,0.011542812,0.001282535,NA,NA,0.46,22,0.014953401
P. acuminata,ML,0.025164448,0.079919145,0.159893746,0.008003217,0.002000804,0.000709,0.00025,0.46,22,0.013098612
P. acuminata,LL,0.010679518,0.042028411,0.101162359,0.001958445,0.000326407,NA,NA,0.46,21.9,0.005309522
P. acuminata,LL,0.010679518,0.042028411,0.101162359,0.001958445,0.000326407,NA,NA,0.46,21.9,0.005309522
P. acuminata,LL,0.02872595,0.090593884,0.149727832,0.007642449,0.000636871,NA,NA,0.46,21.9,0.013423056
P. acuminata,LL,0.067484591,0.129001754,0.197474679,0.014296327,0.001099717,NA,NA,0.46,21.9,0.031727459
P. acuminata,LL,0.02604067,0.050144355,0.291777369,0.005330241,0.00133256,NA,NA,0.46,21.9,0.019443733
P. acuminata,LL,0.043775315,0.077667841,0.293126584,0.007751619,0.001937905,0.00048,0.00017,0.46,21.9,0.030440312
P. acuminata,LL,0.004848248,0.016856035,0.07453044,0.000900934,0.000225233,3.00E-05,2.00E-05,0.46,21.9,0.00348862
P. acuminata,LL,0.004848248,0.016856035,0.07453044,0.000900934,0.000225233,NA,NA,0.46,21.9,0.00348862
P. acuminata,LL,0.018118184,0.080537486,0.138211892,0.00259382,0.000324228,0.00012,6.00E-05,0.46,21.9,0.00683537
P. acuminata,LL,0.029527366,0.09223053,0.149904936,0.00615487,0.000439634,0.00021,0.00013,0.46,21.9,0.010430338
P. acuminata,LL,0.018939538,0.030836203,0.186904144,0.003969775,0.000661629,0.00019,9.00E-05,0.46,21.9,0.013063046
P. acuminata,LL,0.019493434,0.058412767,0.222728671,0.003505898,0.000876474,0.00018,8.00E-05,0.46,21.9,0.011267812
P. acuminata,LL,0.00828991,0.027816148,0.094170413,0.001334591,0.000333648,5.00E-05,2.90E-05,0.46,21.9,0.005706954
P. brachiata,HL,0.013497434,0.054722279,0.059574088,0.003913711,0.000489214,NA,NA,0.22,49.75086117,0.006469182
P. brachiata,HL,0.01888258,0.091658429,0.096510237,0.010056588,0.000838049,NA,NA,0.22,49.75086117,0.006407424
P. brachiata,HL,0.03445904,0.103614555,0.122694163,0.011969314,0.001329924,NA,NA,0.22,49.75086117,0.012189823
P. brachiata,HL,0.079792177,0.197909364,0.216988971,0.027613795,0.00184092,NA,NA,0.22,49.75086117,0.027729106
P. brachiata,HL,0.113980584,0.23474541,0.253825017,0.038605936,0.002270937,0.00254,0.00192,0.22,49.75086117,0.032438143
P. brachiata,ML,0.05142381,0.107489122,0.149381562,0.016743436,0.001674344,NA,NA,0.81,29.96264957,0.02094147
P. brachiata,ML,0.091168805,0.157952964,0.199845404,0.033329786,0.002380699,NA,NA,0.81,29.96264957,0.04008297
P. brachiata,ML,0.112429346,0.212506312,0.258398143,0.039114766,0.002444673,NA,NA,0.81,29.96264957,0.039844483
P. brachiata,ML,0.210844721,0.336758224,0.339656604,0.095098636,0.002881777,NA,NA,0.81,29.96264957,0.071036539
P. brachiata,ML,0.26130403,0.336758224,0.339656604,0.113085482,0.003326044,NA,NA,0.81,29.96264957,0.092173438
P. brachiata,ML,0.263368192,0.334048661,0.376469473,0.085006258,0.003269471,NA,NA,0.81,29.96264957,0.094390669
P. brachiata,ML,0.286935663,0.365857396,0.42158511,0.084621802,0.003022207,0.00664,0.00234,0.81,29.96264957,0.088668687
P. brachiata,ML,0.043989787,0.122307818,0.146754619,0.010081042,0.00126013,NA,NA,0.81,29.96264957,0.015444974
P. brachiata,ML,0.051338423,0.122298929,0.14674573,0.014761884,0.001476188,NA,NA,0.81,29.96264957,0.019952593
P. brachiata,ML,0.068373142,0.136159452,0.160606253,0.019835603,0.001652967,NA,NA,0.81,29.96264957,0.024511291
P. brachiata,ML,0.209151192,0.3148429,0.339289701,0.056976266,0.002998751,NA,NA,0.81,29.96264957,0.062726237
P. brachiata,ML,0.253385821,0.408650862,0.433097663,0.070927456,0.003377498,NA,NA,0.81,29.96264957,0.06528361
P. brachiata,ML,0.276572402,0.407250392,0.480011582,0.066442243,0.004429483,NA,NA,0.81,29.96264957,0.069438833
P. brachiata,ML,0.270941207,0.433170549,0.594502187,0.075816235,0.00631802,0.00536,0.0021,0.81,29.96264957,0.067761308
P. brachiata,ML,0.025055365,0.082043175,0.109299218,0.006182067,0.001030345,NA,NA,0.81,29.96264957,0.012267773
P. brachiata,ML,0.094737434,0.187348359,0.214604402,0.030967341,0.002580612,NA,NA,0.81,29.96264957,0.043415922
P. brachiata,ML,0.12240452,0.235087878,0.262343921,0.050285693,0.00335238,NA,NA,0.81,29.96264957,0.048104184
P. brachiata,ML,0.092207071,0.202669322,0.229925365,0.025461229,0.002546123,NA,NA,0.81,29.96264957,0.037108802
P. brachiata,ML,0.092207071,0.202669322,0.229925365,0.025461229,0.002546123,0.00175,0.00071,0.81,29.96264957,0.037108802
P. brachiata,LL,0.009026667,0.02648911,0.056100735,0.002866886,0.000477814,NA,NA,0.21,24.87025948,0.00514428
P. brachiata,LL,0.021534875,0.049912169,0.079523794,0.007498412,0.000749841,NA,NA,0.21,24.87025948,0.013109552
P. brachiata,LL,NA,0.000276432,0.063651761,0.002297676,0.001148838,NA,NA,0.21,24.87025948,0.01105254
P. brachiata,LL,NA,0.00382914,0.067734235,0.000612617,0.000306309,NA,NA,0.21,24.87025948,0.002087983
P. brachiata,LL,NA,0.00925326,0.072608899,0.000965371,0.00032179,5.00E-05,2.00E-05,0.21,24.87025948,0.002888119
P. brachiata,HL,0.060565226,0.108030334,0.150858919,0.030052354,0.002146597,NA,NA,0.22,49.75086117,0.031714966
P. brachiata,HL,0.193415317,0.294249848,0.337078433,0.097587398,0.003049606,NA,NA,0.22,49.75086117,0.053989264
P. brachiata,HL,0.17729364,0.260494464,0.396590968,0.061368847,0.003229939,NA,NA,0.22,49.75086117,0.064060202
P. brachiata,HL,0.322652396,0.408426861,0.494746712,0.11725879,0.004187814,NA,NA,0.22,49.75086117,0.086881165
P. brachiata,HL,0.326068861,0.331631433,0.532370613,0.139454896,0.003769051,0.01347,0.00694,0.22,49.75086117,0.095097629
P. brachiata,LL,0.027335405,0.06670033,0.09130558,0.00783988,0.000979985,NA,NA,0.21,24.87025948,0.01391368
P. brachiata,LL,0.031092304,0.075340172,0.099945422,0.011095982,0.001109598,NA,NA,0.21,24.87025948,0.01574325
P. brachiata,LL,0.035820288,0.08723647,0.114834412,0.012955248,0.001079604,NA,NA,0.21,24.87025948,0.015619144
P. brachiata,LL,0.021166701,0.055738768,0.12021405,0.006469087,0.001078181,0.00025,0.00016,0.21,24.87025948,0.011753893
P. brachiata,LL,0.022656462,0.049757921,0.126254911,0.006927465,0.001154578,0.00027,0.00017,0.21,24.87025948,0.014213379
P. brachiata,LL,0.023476002,0.051834106,0.139651117,0.006248001,0.001562,0.00026,0.00016,0.21,24.87025948,0.016613538
P. brachiata,LL,0.028127561,0.062745391,0.139908501,0.00823662,0.00137277,0.00031,2.00E-04,0.21,24.87025948,0.015296619
P. brachiata,HL,0.068954219,0.122913425,0.153122626,0.022526796,0.002502977,NA,NA,0.22,49.75086117,0.035332598
P. brachiata,HL,0.11717538,0.20415818,0.234367382,0.050541566,0.002660082,NA,NA,0.22,49.75086117,0.035979317
P. brachiata,HL,0.124740062,0.244904358,0.275113559,0.044237716,0.002328301,NA,NA,0.22,49.75086117,0.04111865
P. brachiata,HL,0.080389435,0.124865865,0.323472496,0.021618288,0.001965299,0.00262,0.00107,0.22,49.75086117,0.045817791
P. marginata,ML,0.036159978,0.051760985,0.062793331,0.007411572,0.001235262,NA,NA,0.25,59.69481862,0.02684762
P. marginata,ML,0.109682411,0.087519524,0.09855187,0.025895808,0.002589581,NA,NA,0.25,59.69481862,0.088233673
P. marginata,ML,0.170754975,0.153504872,0.164537218,0.052071845,0.003719418,NA,NA,0.25,59.69481862,0.09568399
P. marginata,ML,0.244642265,0.258336209,0.269368555,0.062396978,0.003119849,NA,NA,0.25,59.69481862,0.099130513
P. marginata,ML,0.393081443,0.351019733,0.362052079,0.104558944,0.003075263,0.00785,0.00624,0.25,59.69481862,0.11174334
P. marginata,HL,0.025347725,0.045201374,0.070026435,0.006266702,0.00104445,NA,NA,0.29,70.66149095,0.019406599
P. marginata,HL,0.058122067,0.081980116,0.081573025,0.013979625,0.001747453,NA,NA,0.29,70.66149095,0.045690473
P. marginata,HL,0.146568932,0.149365104,0.148958013,0.032371645,0.003237165,NA,NA,0.29,70.66149095,0.065236491
P. marginata,HL,0.163626963,0.1593514,0.158944308,0.036508902,0.004056545,NA,NA,0.29,70.66149095,0.073904919
P. marginata,HL,0.177159468,0.20089373,0.200486638,0.042588911,0.002241522,0.00378,0.00301,0.29,70.66149095,0.072722692
P. marginata,HL,0.04751415,0.058802834,0.08432026,0.010064893,0.001677482,NA,NA,0.29,70.66149095,0.047989677
P. marginata,HL,0.113701747,0.091506588,0.117024014,0.028690941,0.002869094,NA,NA,0.29,70.66149095,0.076451921
P. marginata,HL,0.119971819,0.18757393,0.303715489,0.024006613,0.001714758,NA,NA,0.29,70.66149095,0.043643045
P. marginata,HL,0.125976695,0.108627324,0.31716084,0.036717472,0.001596412,0.00451,0.0026,0.29,70.66149095,0.059343984
P. marginata,LL,0.011092716,0.030776276,0.053074256,0.002259377,0.000376563,NA,NA,0.22,37.01,0.007486858
P. marginata,LL,0.023234237,0.069356845,0.091654825,0.005280618,0.000528062,0.00021,2.00E-04,0.22,37.01,0.011028616
P. marginata,LL,0.012000031,0.015386648,0.055554204,0.002671047,0.000445175,0.00011,9.90E-05,0.22,37.01,0.007792051
P. marginata,LL,NA,0.024779896,0.071522103,0.000914613,0.000304871,5.00E-05,3.40E-05,0.22,37.01,0.002977311
