"","var_in","method","unit_in","var_out","notes","var_in_unchecked_names"
"1","a.cs","","m2","a.cs",NA,"a.cs"
"2","h.c","","m","h.c",NA,"h.c"
"3","h.t","","m","h.t",NA,"h.t"
"4","a.lf","","m2","a.lf",NA,"a.lf"
"5","lf.sz","","m2","lf.sz",NA,"lf.sz"
"6","m.t","","kg","m.to",NA,"m.t"
"7","m.lf","","kg","m.lf",NA,"m.lf"
"8","d.st","a2","kg.m3","d.st",NA,"d.st"
"9","lf.ma","a3","kg.m2","lf.ma",NA,"lf.ma"
"10","a.cp","","m2","a.cp",NA,"a.cp"
"11","species",NA,NA,NA,NA,"species"
"12","treatment",NA,NA,NA,NA,"treatment"
