sampling year,site code,"site type (1 =myrtillus, 2= Calluna type)",ruutu,PUU,LUOKKA,ALALUOKKA,tree age,HDCLASS,hd,D13,tree height CM,crown length cm,stem bark mass KG,branch mass,branch (heartwood),branch (sapwood),needle mass ,stem sapwood mass,stem heartwood mass,stem mass,above ground biomass,needle area cm^2,spesnpa cm^2/g,below ground,stump,roots (>20 cm),"scoarce roots (0,5-20 cm)","fineroots (< 0,2 mm) estim.",total biomass,tap root," j 0-0,5 mm kg"," j 0,5-2cm", j 2- cm,hclass,ageclass,RKUORI%,oksa%,neulas% ,MRM%,MRSP%,below ground%,stump%,lsuhde
92,23,1,1,2,1,,33,1,81.3,109.5,890,690,4.4,6.73,0.28,6.45,3.4,15.08,0.41,19.89,30.01,,,5.6,2.1,,2.5,1,35.9,,,,,5-10 m,30-50v,,,,,,19%,7%,0.78
92,23,1,1,1,1,,39,1,82.9,117,970,710,5.72,9.01,0.41,8.6,4.82,22.11,0.74,28.57,42.4,,,9.2,2.4,,5.7,1.1,51.9,,,,,5-10 m,30-50v,,,,,,22%,6%,0.73
92,153,1,1,2,1,,93,1,78.8,255,2010,740,31.33,17.88,0.93,16.95,8.6,129,38.37,198.7,225.18,,,78.9,17.6,,59.2,2.1,304.6,,,,,20-25 m,50-100v,,,,,,35%,8%,0.37
92,153,1,1,1,1,,88,1,98.2,225,2210,730,28.24,37.96,4.16,33.8,13.5,178.76,88.64,295.64,347.1,,,49.9,23.7,,23.5,2.7,397.6,,,,,20-25 m,50-100v,,,,,,14%,7%,0.33
92,157,2,1,1,1,,18,1,64.1,78,500,450,1.83,4.3,0.2,4.1,4.18,4.68,0.16,6.67,15.15,,,5.3,0.7,,4.1,0.5,20.7,,,,,5-10 m,10-30v,,,,,,35%,5%,0.90
92,157,2,1,2,1,,19,1,60.2,93,560,510,2.19,4.3,0.2,4.1,3.8,7.25,0.2,9.64,17.74,,,8.1,1.2,,6.1,0.8,26,,,,,5-10 m,10-30v,,,,,,46%,7%,0.91
92,167,2,1,1,1,,42,1,76.5,217,1660,1040,20.12,43.05,2.1,40.95,11.6,110.5,6.67,137.29,191.94,,,29.8,11.4,,17,1.4,222.7,,,,,15-20 m,30-50v,,,,,,16%,6%,0.63
92,167,2,1,2,1,,44,1,83.1,215.5,1790,950,21.94,36.1,4.2,31.9,12.7,130.45,23.35,175.74,224.54,,,40.3,9.3,,29.8,1.2,268.1,2.4,,,,15-20 m,30-50v,,,,,,18%,4%,0.53
92,188,2,1,2,1,,80,1,77.1,292,2250,870,50.36,40.5,6.5,34,12.1,180.85,98.53,329.74,382.34,,,73,27,,43.6,2.4,466.5,9.7,,,,20-25 m,50-100v,,,,,,19%,7%,0.39
92,188,2,1,1,1,,81,1,89.7,276.5,2480,1140,40.12,22.75,3,19.75,7,222.75,84.99,347.86,377.61,,,97.6,23,17.3,55,2.3,476.6,,,,,20-25 m,50-100v,,,,,,26%,6%,0.46
92,218,1,1,2,1,,48,1,86.3,153,1320,720,15.85,15.56,0.81,14.75,7,53.36,3.94,73.15,95.71,,,13.9,7.4,,5.5,1,109.7,,,,,10-15 m,50-100v,,,,,,15%,8%,0.55
92,218,1,1,1,1,,57,1,81.9,174.5,1430,860,14.09,19.6,1.05,18.55,11.3,64.82,4.2,83.11,114.01,,,21.1,4.5,,15.3,1.3,135.2,,,,,10-15 m,50-100v,,,,,,19%,4%,0.60
92,223,1,1,1,1,,212,1,74.7,341.5,2550,540,71.62,77.9,49.36,28.54,19.3,278.09,333.98,683.69,780.88,,,131.9,61.9,,63,7,801.2,,,,,25-33 m,100- v,,,,,,17%,8%,0.21
92,223,1,1,2,1,,203,1,69.0,379.5,2620,1430,46.72,102,23.6,78.4,18.7,269.19,244.14,560.05,680.75,,,141.3,38.4,0.6,93.6,8.7,950.9,8.9,,,,25-33 m,100- v,,,,,,21%,6%,0.55
92,224,1,1,1,1,,41,1,62.5,152,950,650,5.8,6.6,0.41,6.19,6.7,31.73,2.24,39.77,53.07,,,12.3,4,,6.7,1.6,65.7,,,,,5-10 m,10-50v,,,,,,23%,8%,0.68
92,224,1,1,2,1,,41,1,94.1,143.5,1350,970,9.07,12.52,0.87,11.65,7.7,51.73,5.78,66.58,86.8,,,12.6,4.1, ,6.5,2,100.8,1.1,,,,10-15 m,10-50v,,,,,,15%,5%,0.72
92,240,2,1,2,1,,149,1,76.8,419.5,3220,850,98.93,78.2,9.65,68.55,12.9,423.53,345.02,867.48,958.58,,,167.4,48.7,,113.5,5.2,1136.7,9.1,,,,25-33 m,100- v,,,,,,17%,5%,0.26
92,240,2,1,1,1,,146,1,78.9,410.5,3240,1370,98.32,115.3,49.5,65.8,16,457.85,534.41,1090.58,1221.88,,,202.1,57.1,0.6,139.1,5.3,1435.2,9.6,,,,25-33 m,100- v,,,,,,17%,5%,0.42
94,1,2,1,28,2,,13,3,164.6,60.5,996.0,376,0.974808511,0.19456,,,0.17061,4.89,0.31,5.2,6.599593895,28750.9105,168.5183196,,,,,,,,,,,5-10 m,10-30v,15%,3%,3%,74%,5%,,,0.38
