The following data were the original field sample trees harvested for biomass component measurements.  The data were originally published on Forest Ecology and Management 78(1995) 127-138 ,,,,,,,
Total of 50 trees were sampled. No understory biomass was measured.,,,,,All stands were pure aspen stands.,,
,,,,,,,
TREE_NO,DBH (cm),HEIGHT (m),LEAF (kg),BRANCH (kg),STEMWOOD (kg),STEMBARK (kg),TOTAL_ABOVE (kg)
1,3.2,5.75,0.097,0.16,0.921,0.233,1.411
2,6.5,9.35,0.31,1.014,5.986,1.515,8.825
3,5.4,8.55,0.644,1.172,3.808,0.964,6.588
4,9,10.57,2.322,4.343,12.794,3.238,22.697
5,5.6,7.7,0.468,1.437,3.671,0.929,6.505
6,5.8,9.85,0.627,1.019,5.065,1.282,7.993
7,7.1,10.6,0.945,2.531,8.089,2.047,13.612
8,11.5,10.6,2.137,6.133,20.672,5.231,34.173
9,6.8,11.7,0.583,0.807,8.226,2.082,11.698
10,6.8,12.1,0.612,1.363,8.513,2.154,12.642
11,8.5,12.75,0.705,2.094,13.877,3.512,20.188
12,4.9,8.4,0.336,0.823,3.099,0.784,5.042
13,4.1,6.95,0.054,0.169,1.755,0.444,2.422
14,9.5,12.55,0.705,2.094,16.951,4.29,24.04
15,9.4,10.5,0.335,2.175,12.836,2.626,17.972
16,23.2,19.42,3.034,15.885,139.888,28.617,187.424
17,11.8,15.97,0.393,4.002,30.72,6.285,41.4
18,15.4,17.28,0.766,3.752,55.907,11.437,71.862
19,17.7,19.25,1.123,6.299,81.878,16.75,106.05
20,18.3,18.51,1.584,7.978,83.932,17.168,110.662
21,21.5,15.71,4.755,12.187,122.244,16.248,155.434
22,9.8,13.1,0.613,2.072,22.799,3.03,28.514
23,23.2,23.5,3.2,30.089,170.077,34.793,238.159
24,26,24.14,3.307,17.322,218.231,44.644,283.504
25,23.6,24.28,3.361,15.993,198.615,50.188,268.157
26,19.7,24.05,0.707,8.382,138.401,34.972,182.462
27,27.3,25.6,4.763,27.743,278.392,70.346,381.244
28,31.7,26.08,7.847,50.088,379.51,95.898,533.343
29,0.7,0.8,0.0116,0.0089,0.0148428,0.0037572,0.0391
30,0.8,0.85,0.0122,0.0091,0.0176358,0.0044642,0.0434
31,0.9,0.9,0.0107,0.0096,0.0165984,0.0042016,0.0411
32,1.2,1.55,0.0151,0.0134,0.0361494,0.0091506,0.0738
33,1.2,1.58,0.0162,0.014,0.037506,0.009494,0.0772
34,1.3,1.78,0.0166,0.0144,0.0449274,0.0113726,0.0873
35,1.5,1.78,0.0224,0.0238,0.0544236,0.0137764,0.1144
36,2.4,2.31,0.0426,0.054,0.1600788,0.0405212,0.2972
37,2.7,2.7,0.053,0.0511,0.2326968,0.0589032,0.3957
38,3.2,3.44,0.0598,0.0948,0.074214,0.018786,0.2476
39,3.8,3.7,0.1071,0.1413,0.0653562,0.0165438,0.3303
40,4.4,3.85,0.1257,0.1843,0.0580944,0.0147056,0.3828
41,1.4,1.7,0.0209,0.019,0.0557004,0.0140996,0.1097
42,1.9,2.68,0.0263,0.0226,0.1410066,0.0356934,0.2256
43,2.75,3.96,0.0522,0.0673,0.0313614,0.0079386,0.1588
44,2.8,3.54,0.0599,0.0803,0.3274194,0.0828806,0.5505
45,3.9,4.9,0.0861,0.1543,0.7661598,0.1939402,1.2005
46,5,5.45,0.266,0.4201,1.774353,0.449147,2.9096
47,3.8,5.75,0.0974,0.1602,0.920892,0.233108,1.4116
48,6.6,8.55,0.06435,1.1715,3.808056,0.963944,6.00785
49,7.6,9.35,0.03095,1.0141,5.985798,1.515202,8.54605
50,10.7,10.57,2.3219,4.4335,12.793536,3.238464,22.7874
