dataset,grouping,location,latitude,longitude,vegetation,lai,map,mat,family,species,pft,age,a.lf,a.ssba,a.ssbh,a.ssbc,a.shba,a.shbh,a.shbc,a.sbba,a.sbbh,a.sbbc,a.stba,a.stbh,a.stbc,a.cp,a.cs,h.t,h.c,d.ba,d.bh,d.cr,c.d,m.lf,m.ss,m.sh,m.sb,m.st,m.so,m.br,m.rf,m.rc,m.rt,m.to,a.ilf,ma.ilf,r.st,r.ss,r.sb,r.sh,n.lf,n.ss,n.sb,n.sh,n.rf,n.rc,growingCondition,status,light,method_lai,method_age,method_a.lf,method_a.ssba,method_a.ssbh,method_a.ssbc,method_a.shba,method_a.shbh,method_a.shbc,method_a.sbba,method_a.sbbh,method_a.sbbc,method_a.stba,method_a.stbh,method_a.stbc,method_a.cp,method_a.cs,method_h.t,method_h.c,method_d.ba,method_d.bh,method_d.cr,method_c.d,method_m.lf,method_m.ss,method_m.sh,method_m.sb,method_m.st,method_m.so,method_m.br,method_m.rf,method_m.rc,method_m.rt,method_m.to,method_a.ilf,method_ma.ilf,method_r.st,method_r.ss,method_r.sb,method_r.sh,method_n.lf,method_n.ss,method_n.sb,method_n.sh,method_n.rf,method_n.rc,method_light
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,0.165,NA,NA,2.6381,NA,NA,8.9017,87.0467,104.3597,5.7732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.4,NA,NA,0.215,NA,NA,7.6094,NA,NA,26.0659,156.1704,208.3295,18.4838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,NA,NA,0.295,NA,NA,12.0079,NA,NA,59.6097,329.3047,420.9332,20.0109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,NA,NA,0.11,NA,NA,2.6745,NA,NA,6.3464,37.8297,50.6155,3.7649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7,NA,NA,0.095,NA,NA,0.9805,NA,NA,4.0194,22.3223,29.81,2.4878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.82,NA,NA,0.103,NA,NA,1.3409,NA,NA,6.3331,31.3004,41.057,2.0826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1,NA,NA,0.19,NA,NA,7.7318,NA,NA,22.7294,121.1795,163.2111,11.5704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83,NA,NA,0.022,NA,NA,0.0067,NA,NA,0.0395,0.1656,0.2887,0.0769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.62,NA,NA,0.012,NA,NA,0.0198,NA,NA,0.0077,0.0321,0.0758,0.0162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,NA,NA,0.029,NA,NA,0.1651,NA,NA,0.0819,0.3441,0.7311,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.28,NA,NA,0.081,NA,NA,1.4774,NA,NA,1.4241,5.9765,11.493,2.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,NA,NA,0.015,NA,NA,0.0031,NA,NA,0.0138,0.0581,0.0956,0.0206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.48,NA,NA,0.035,NA,NA,0.2635,NA,NA,0.3071,1.2889,2.1719,0.3124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82,NA,NA,0.011,NA,NA,0.0235,NA,NA,0.0111,0.0465,0.1064,0.0253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68,NA,NA,0.015,NA,NA,0.034,NA,NA,0.0233,0.0979,0.193,0.0378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,NA,NA,0.014,NA,NA,0.0372,NA,NA,0.0111,0.0466,0.1129,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.47,NA,NA,0.015,NA,NA,0.0371,NA,NA,0.0094,0.0397,0.1099,0.0237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29,NA,NA,0.025,NA,NA,0.0885,NA,NA,0.0288,0.1207,0.2817,0.0437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wang1996,NA,"British Columbia, CA",49-57N,118-125E,BorF,NA,668,8.7,Betulaceae,Betula papyrifera Marsh,DA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,NA,NA,0.013,NA,NA,0.0269,NA,NA,0.0061,0.0254,0.0749,0.0165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FW,3,Full light,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,m1,NA,NA,m1,m1,m1,m1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
