"var_in","method","unit_in","var_out","notes"
"Dia. (mm)","?","mm","d.ba",NA
"D.B.H.(mm)","?","mm","d.bh",NA
"Hieght (cm)","?","cm","h.t",NA
"Branch (cm)","?","cm","h.c",NA
"Foliage","m1,7","g","m.lf",NA
"Branch","m1","g","m.br",NA
"Dead Branch",NA,NA,NA,NA
"Stem Wood","m1","g","m.st",NA
"Stem Bark","m1","g","m.sb",NA
"m.rc","m1","g","m.rc",NA
"Sm. Root","m1","g","m.rf",NA
"TOTAL","m1","g","m.to",NA
"species",NA,"-","species",NA
"Tree #",NA,NA,NA,NA
"Lrg. Root",NA,NA,NA,NA
"Med. Root",NA,NA,NA,NA
